"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","365775","","","","0"
"1962-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","375481","","","","0"
"1962-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","378238","","","","0"
"1962-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","383219","","","","0"
"1962-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","391021","","","","0"
"1963-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","393401","","","","0"
"1963-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","399154","","","","0"
"1963-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","402265","","","","0"
"1963-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","414891","","","","0"
"1964-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","425171","","","","0"
"1964-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","426739","","","","0"
"1964-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","431191","","","","0"
"1964-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","433525","","","","0"
"1965-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","447172","","","","0"
"1965-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross domestic product at market prices","Dollars","81","millions","6","v62305752","1.1.1.30","451456","","","","0"
