Name,Code,frequ,Percent
"Under $2,000",1,7507,0.8
"$2,000 to $4,999",2,3273,0.4
"$5,000 to $6,999",3,2294,0.2
"$7,000 to $9,999",4,5467,0.6
"$10,000 to $11,999",5,5022,0.5
"$12,000 to $14,999",6,8829,1
"$15,000 to $16,999",7,5880,0.6
"$17,000 to $19,999",8,15667,1.7
"$20,000 to $24,999",9,25794,2.8
"$25,000 to $29,999",10,28535,3.1
"$30,000 to $34,999",11,34854,3.8
"$35,000 to $39,999",12,36786,4
"$40,000 to $44,999",13,38230,4.1
"$45,000 to $49,999",14,39489,4.3
"$50,000 to $54,999",15,40265,4.4
"$55,000 to $59,999",16,40052,4.3
"$60,000 to $64,999",17,38993,4.2
"$65,000 to $69,999",18,39180,4.2
"$70,000 to $74,999",19,38208,4.1
"$75,000 to $79,999",20,36395,3.9
"$80,000 to $84,999",21,35340,3.8
"$85,000 to $89,999",22,33787,3.7
"$90,000 to $94,999",23,31860,3.4
"$95,000 to $99,999",24,29862,3.2
"$100,000 to $109,999",25,53279,5.8
"$110,000 to $119,999",26,45266,4.9
"$120,000 to $134,999",27,53992,5.8
"$135,000 to $149,999",28,39654,4.3
"$150,000 to $174,999",29,43948,4.8
"$175,000 to $199,999",30,24440,2.6
"$200,000 to $249,999",31,21930,2.4
"$250,000 and over",32,20801,2.2
Not available,88,5542,-
Total,,930421,100
,,,
"Copyright (c) Statistics Canada, 2019",,,
