PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
10010165,Newfoundland and Labrador,539,2,-0.523,2,-0.346,1,-0.760,2,-0.361
10010166,Newfoundland and Labrador,264,4,-0.045,5,0.766,1,-0.940,1,-0.847
10010167,Newfoundland and Labrador,341,4,-0.011,4,0.184,1,-0.815,3,-0.083
10010168,Newfoundland and Labrador,549,4,0.079,4,0.365,2,-0.669,4,0.099
10010169,Newfoundland and Labrador,296,3,-0.103,4,0.298,1,-0.744,1,-0.631
10010170,Newfoundland and Labrador,443,2,-0.745,4,0.386,2,-0.666,3,-0.291
10010171,Newfoundland and Labrador,469,3,-0.123,2,-0.598,2,-0.573,1,-0.722
10010172,Newfoundland and Labrador,215,4,-0.045,3,-0.042,1,-0.830,2,-0.451
10010173,Newfoundland and Labrador,923,4,0.055,1,-0.948,2,-0.613,3,-0.305
10010174,Newfoundland and Labrador,913,2,-0.549,2,-0.642,2,-0.657,2,-0.341
10010175,Newfoundland and Labrador,986,4,0.263,3,-0.273,3,-0.492,5,0.727
10010176,Newfoundland and Labrador,427,4,0.246,4,0.356,2,-0.588,4,0.346
10010180,Newfoundland and Labrador,536,2,-0.543,3,-0.075,1,-0.800,2,-0.409
10010181,Newfoundland and Labrador,392,3,-0.272,4,0.481,1,-0.753,2,-0.402
10010182,Newfoundland and Labrador,345,3,-0.179,4,0.659,1,-0.856,3,-0.049
10010187,Newfoundland and Labrador,700,4,0.661,4,0.306,1,-0.908,4,0.157
10010191,Newfoundland and Labrador,631,4,0.628,4,0.378,2,-0.677,5,1.229
10010192,Newfoundland and Labrador,331,2,-0.623,3,0.051,2,-0.640,5,0.606
10010193,Newfoundland and Labrador,435,3,-0.231,5,0.770,2,-0.589,4,0.362
10010194,Newfoundland and Labrador,251,3,-0.301,4,0.641,2,-0.661,5,0.857
10010195,Newfoundland and Labrador,601,4,0.286,2,-0.568,1,-0.764,3,-0.155
10010196,Newfoundland and Labrador,499,4,0.214,5,1.624,1,-0.809,1,-0.681
10010198,Newfoundland and Labrador,387,3,-0.275,2,-0.673,1,-0.911,1,-0.659
10010199,Newfoundland and Labrador,226,4,0.371,5,0.845,5,1.218,4,-0.014
10010200,Newfoundland and Labrador,363,1,-0.861,4,0.272,1,-0.809,3,-0.231
10010201,Newfoundland and Labrador,456,3,-0.125,3,-0.150,1,-0.733,3,-0.107
10010202,Newfoundland and Labrador,488,4,0.032,3,0.005,3,-0.495,4,0.174
10010203,Newfoundland and Labrador,319,3,-0.328,5,1.585,1,-0.752,5,0.420
10010204,Newfoundland and Labrador,569,5,0.968,4,0.539,3,-0.296,5,0.492
10010206,Newfoundland and Labrador,747,5,1.420,5,1.688,2,-0.723,3,-0.184
10010207,Newfoundland and Labrador,1333,4,0.393,3,-0.311,3,-0.300,4,0.119
10010208,Newfoundland and Labrador,1515,4,0.608,3,0.032,3,-0.328,5,0.460
10010209,Newfoundland and Labrador,501,4,0.056,3,0.067,2,-0.588,5,0.410
10010210,Newfoundland and Labrador,474,3,-0.498,4,0.319,2,-0.708,3,-0.167
10010211,Newfoundland and Labrador,739,5,1.457,5,0.709,1,-0.789,4,0.075
10010212,Newfoundland and Labrador,499,4,0.148,2,-0.509,4,-0.136,3,-0.288
10010213,Newfoundland and Labrador,705,5,0.867,5,2.325,2,-0.571,1,-0.642
10010214,Newfoundland and Labrador,385,5,1.053,2,-0.376,5,2.517,5,0.605
10010215,Newfoundland and Labrador,364,4,0.717,4,0.135,1,-0.805,4,0.331
10010216,Newfoundland and Labrador,278,4,0.567,3,-0.060,2,-0.649,3,-0.147
10010217,Newfoundland and Labrador,255,5,0.919,3,-0.214,1,-1.054,2,-0.415
10010218,Newfoundland and Labrador,360,5,1.867,5,1.835,3,-0.416,5,1.102
10010219,Newfoundland and Labrador,631,4,0.533,4,0.120,1,-0.758,4,0.259
10010220,Newfoundland and Labrador,334,4,0.237,4,0.221,2,-0.636,5,0.670
10010221,Newfoundland and Labrador,523,4,0.788,5,1.260,1,-0.819,4,-0.010
10010222,Newfoundland and Labrador,561,4,0.472,2,-0.430,2,-0.604,4,0.380
10010223,Newfoundland and Labrador,544,5,1.274,5,1.207,2,-0.571,5,0.386
10010224,Newfoundland and Labrador,465,5,0.946,3,-0.008,1,-0.785,4,0.328
10010225,Newfoundland and Labrador,231,4,0.005,2,-0.590,2,-0.692,5,0.656
10010226,Newfoundland and Labrador,522,4,0.773,5,1.014,3,-0.489,5,2.457
10010227,Newfoundland and Labrador,411,5,0.816,2,-0.481,3,-0.325,5,0.599
10010228,Newfoundland and Labrador,458,4,0.417,2,-0.367,3,-0.447,4,0.253
10010229,Newfoundland and Labrador,466,4,0.635,2,-0.393,3,-0.251,4,0.116
10010230,Newfoundland and Labrador,523,5,1.280,4,0.232,2,-0.634,4,0.374
10010231,Newfoundland and Labrador,532,4,0.586,2,-0.390,3,-0.399,4,0.314
10010232,Newfoundland and Labrador,460,4,0.540,3,-0.128,5,0.860,5,0.438
10010233,Newfoundland and Labrador,417,5,0.815,5,0.945,4,0.100,5,1.096
10010234,Newfoundland and Labrador,475,5,0.834,3,-0.271,3,-0.206,4,0.014
10010235,Newfoundland and Labrador,301,5,0.879,5,1.560,2,-0.550,5,1.397
10010236,Newfoundland and Labrador,493,5,1.265,5,0.977,4,-0.113,5,1.126
10010237,Newfoundland and Labrador,447,5,1.306,3,-0.256,4,0.201,3,-0.070
10010238,Newfoundland and Labrador,418,4,0.197,4,0.391,3,-0.431,3,-0.142
10010239,Newfoundland and Labrador,545,5,1.224,4,0.260,4,-0.115,5,0.428
10010240,Newfoundland and Labrador,768,5,1.803,4,0.236,5,1.149,5,0.730
10010241,Newfoundland and Labrador,480,5,2.780,5,1.991,4,0.563,5,1.275
10010242,Newfoundland and Labrador,672,5,0.928,4,0.375,4,-0.148,5,0.829
10010243,Newfoundland and Labrador,810,4,0.566,1,-0.901,3,-0.335,3,-0.281
10010244,Newfoundland and Labrador,679,5,1.192,3,-0.065,3,-0.483,4,0.286
10010245,Newfoundland and Labrador,451,5,1.336,3,-0.273,3,-0.345,4,0.104
10010246,Newfoundland and Labrador,430,4,0.357,4,0.272,2,-0.626,4,0.150
10010247,Newfoundland and Labrador,305,4,-0.061,5,1.665,3,-0.503,2,-0.509
10010248,Newfoundland and Labrador,266,4,0.799,3,-0.224,3,-0.201,1,-0.722
10010249,Newfoundland and Labrador,513,5,1.109,3,-0.244,4,0.512,4,0.046
10010250,Newfoundland and Labrador,553,4,0.663,2,-0.395,4,0.006,4,0.063
10010251,Newfoundland and Labrador,462,4,0.173,2,-0.530,4,-0.101,3,-0.129
10010252,Newfoundland and Labrador,485,4,0.784,5,1.079,4,-0.093,1,-0.698
10010253,Newfoundland and Labrador,391,4,0.039,2,-0.622,3,-0.468,1,-0.750
10010254,Newfoundland and Labrador,572,3,-0.222,3,-0.211,2,-0.653,2,-0.381
10010255,Newfoundland and Labrador,483,4,0.357,4,0.300,3,-0.487,2,-0.586
