"Country","Code","Year","GDP","Gini","Share_bottom10","Share_top10","Poverty"
"Afghanistan","AFG",2016,1.7570234901613,NA,NA,NA,54.5
"Albania","ALB",2012,10.3695610324771,0.29,3.7,22.9,14.3
"Algeria","DZA",2011,13.0461285113709,0.276,4,22.9,5.5
"American Samoa","ASM",2019,NA,NA,NA,NA,NA
"Andorra","AND",2019,NA,NA,NA,NA,NA
"Angola","AGO",2008,6.47437642342765,0.427,2.1,32.3,36.6
"Antigua and Barbuda","ATG",2018,23.8407298964163,NA,NA,NA,NA
"Argentina","ARG",2018,18.2882445989345,0.414,1.8,29.9,32
"Armenia","ARM",2018,9.17774415916106,0.344,3.3,29.2,23.5
"Aruba","ABW",2017,35.8618281181686,NA,NA,NA,NA
"Australia","AUS",2014,43.6511031328493,0.344,2.8,27,NA
"Austria","AUT",2017,45.4214253996812,0.297,3,23,NA
"Azerbaijan","AZE",NA,NA,NA,NA,NA,NA
"Bahamas, The","BHS",2018,28.4722004633762,NA,NA,NA,NA
"Bahrain","BHR",2018,41.973112933757,NA,NA,NA,NA
"Bangladesh","BGD",2016,3.42401066014401,0.324,3.7,26.8,24.3
"Barbados","BRB",2018,16.4635174338393,NA,NA,NA,NA
"Belarus","BLR",2018,17.7418622306394,0.252,4.3,21.4,5.6
"Belgium","BEL",2017,43.1328055365392,0.274,3.3,21.9,NA
"Belize","BLZ",NA,NA,NA,NA,NA,NA
"Benin","BEN",2015,1.98714191963108,0.478,1,37.6,40.1
"Bermuda","BMU",2013,50.6693147696996,NA,NA,NA,NA
"Bhutan","BTN",2017,9.04290749104934,0.374,2.7,27.9,8.2
"Bolivia","BOL",2018,6.98604648747244,0.422,1.5,30.4,34.6
"Bosnia and Herzegovina","BIH",2011,9.97647966210109,0.33,2.9,25.1,17.9
"Botswana","BWA",2009,12.4008889375325,0.605,1.1,49.6,19.3
"Brazil","BRA",2018,14.2827170075809,0.539,1,42.5,NA
"British Virgin Islands","VGB",2019,NA,NA,NA,NA,NA
"Brunei Darussalam","BRN",2018,71.8022717197874,NA,NA,NA,NA
"Bulgaria","BGR",2017,18.606213924388,0.404,1.9,31.9,22
"Burkina Faso","BFA",2014,1.58233009760085,0.353,3.6,29.6,40.1
"Burundi","BDI",2013,0.760699069642062,0.386,2.8,31,64.9
"Cabo Verde","CPV",2015,6.0072182902507,0.424,2.2,32.3,35
"Cambodia","KHM",2012,2.80632564560971,NA,NA,NA,17.7
"Cameroon","CMR",2014,3.13408070428593,0.466,1.7,35,37.5
"Canada","CAN",2013,42.3701937248041,0.338,2.4,25.1,NA
"Cayman Islands","CYM",2017,65.9958092143796,NA,NA,NA,NA
"Central African Republic","CAF",2008,0.887608557889138,0.562,1.2,46.2,62
"Chad","TCD",2011,1.85293815588829,0.433,1.8,32.4,46.7
"Channel Islands","CHI",2019,NA,NA,NA,NA,NA
"Chile","CHL",2017,22.296837004324,0.444,2.3,36.3,8.6
"China","CHN",2016,14.3686308012738,0.385,2.7,29.3,4.5
"Colombia","COL",2018,13.3213278527342,0.504,1.4,39.7,27
"Comoros","COM",NA,NA,NA,NA,NA,NA
"Congo, Dem. Rep.","COD",2012,0.706367202607564,0.421,2.1,32,63.9
"Congo, Rep.","COG",2011,5.35380429630661,0.489,1.6,37.9,40.9
"Costa Rica","CRI",2018,15.6799805577504,0.48,1.5,36.3,21.1
"Cote d'Ivoire","CIV",2015,3.22518885921985,0.415,2.1,31.9,46.3
"Croatia","HRV",2017,22.8611561016998,0.304,2.7,22.9,19.4
"Cuba","CUB",2019,NA,NA,NA,NA,NA
"Curacao","CUW",2018,24.6170817569309,NA,NA,NA,NA
"Cyprus","CYP",2017,33.6281167131436,0.314,3.4,25.5,NA
"Czech Republic","CZE",2013,28.3797461176561,0.265,3.8,22.6,9.7
"Denmark","DNK",2017,47.5549213234772,0.287,3.7,24,NA
"Djibouti","DJI",2017,NA,0.416,1.9,32.3,21.1
"Dominica","DMA",2018,9.87578888744891,NA,NA,NA,NA
"Dominican Republic","DOM",2018,15.7483843065322,0.437,2.3,35.2,22.8
"Ecuador","ECU",2018,10.4121992692172,0.454,1.6,34.4,23.2
"Egypt, Arab Rep.","EGY",2017,10.6728002218453,0.315,3.8,26.9,32.5
"El Salvador","SLV",2017,7.2467685299283,0.38,2.5,29.1,29.2
"Equatorial Guinea","GNQ",2006,32.6186405999545,NA,NA,NA,76.8
"Eritrea","ERI",NA,NA,NA,NA,NA,NA
"Estonia","EST",2013,26.0812137870887,0.351,2.4,26.6,21.8
"Eswatini","SWZ",2009,7.99624529537579,0.515,1.5,40,63
"Ethiopia","ETH",2015,1.51847487145011,0.35,2.9,28.5,23.5
"Faroe Islands","FRO",2019,NA,NA,NA,NA,NA
"Fiji","FJI",2013,7.96764289148366,0.367,3.1,29.7,34
"Finland","FIN",2017,41.4432139729749,0.274,3.8,22.6,NA
"France","FRA",2017,38.9558339665168,0.316,3.2,25.8,NA
"French Polynesia","PYF",2019,NA,NA,NA,NA,NA
"Gabon","GAB",2017,16.1449352967905,0.38,2.2,27.7,33.4
"Gambia, The","GMB",2015,2.22520105209912,0.359,3,28.7,48.6
"Georgia","GEO",2018,10.6519420869667,0.364,2.4,27.5,20.1
"Germany","DEU",2016,44.4672187884042,0.319,2.9,24.6,NA
"Ghana","GHA",2016,3.83049766228497,0.435,1.6,32.2,23.4
"Gibraltar","GIB",2019,NA,NA,NA,NA,NA
"Greece","GRC",2017,24.6016732136507,0.344,2.4,25.9,NA
"Greenland","GRL",2019,NA,NA,NA,NA,NA
"Grenada","GRD",2018,13.8045774090713,NA,NA,NA,NA
"Guam","GUM",2019,NA,NA,NA,NA,NA
"Guatemala","GTM",2014,7.14756307701223,0.483,1.7,38.1,59.3
"Guinea","GIN",2012,1.78364498447266,0.337,3,26.4,55.2
"Guinea-Bissau","GNB",2010,1.43097246260323,0.507,1.6,42,69.3
"Guyana","GUY",NA,NA,NA,NA,NA,NA
"Haiti","HTI",2012,1.59086115645559,0.411,2.1,31.2,58.5
"Honduras","HND",2018,4.55973650835258,0.521,0.9,39.1,48.3
"Hong Kong SAR, China","HKG",2018,57.3180578276611,NA,NA,NA,NA
"Hungary","HUN",2014,24.2207339373403,0.309,2.9,24,14.9
"Iceland","ISL",2015,44.2228268597802,0.268,3.9,22.5,NA
"India","IND",2011,4.62456140396297,0.378,3.3,31.7,21.9
"Indonesia","IDN",2018,11.6058553349579,0.39,2.8,30.4,9.8
"Iran, Islamic Rep.","IRN",2017,19.0979667811982,0.408,2.3,31.3,NA
"Iraq","IRQ",2012,15.0325842030186,0.295,3.7,23.7,18.9
"Ireland","IRL",2016,61.8205715590439,0.328,3.1,25.9,NA
"Isle of Man","IMN",2019,NA,NA,NA,NA,NA
"Israel","ISR",2016,32.6175549422702,0.39,1.9,27.7,NA
"Italy","ITA",2017,35.4912671073158,0.359,1.9,26.7,NA
"Jamaica","JAM",NA,NA,NA,NA,NA,NA
"Japan","JPN",2013,37.1486027499744,0.329,2.9,26.4,NA
"Jordan","JOR",2010,9.50089239337884,0.337,3.5,27.5,14.4
"Kazakhstan","KAZ",2017,24.0785451597127,0.275,4.3,23,2.5
"Kenya","KEN",2015,2.79786358360814,0.408,2.4,31.6,36.1
"Kiribati","KIR",2006,1.9156645688759,0.37,2.6,29.3,21.8
"Korea, Dem. People’s Rep.","PRK",2019,NA,NA,NA,NA,NA
"Korea, Rep.","KOR",2012,31.7768970259682,0.316,2.6,23.8,NA
"Kosovo","XKX",2015,9.1583961255162,0.265,4,21.5,17.6
"Kuwait","KWT",2018,64.6837299822447,NA,NA,NA,NA
"Kyrgyz Republic","KGZ",2018,3.44699394041558,0.277,4.3,23.6,22.4
"Lao PDR","LAO",2012,4.77226685973673,0.364,3.2,29.8,23.4
"Latvia","LVA",2014,22.2018641288671,0.351,2.3,26.7,22.5
"Lebanon","LBN",2011,13.8415350103708,0.318,3.1,24.8,NA
"Lesotho","LSO",2017,2.84724547883712,0.449,1.7,32.9,49.7
"Liberia","LBR",2016,1.17618804507441,0.353,2.9,27.1,50.9
"Libya","LBY",2018,18.4245335933349,NA,NA,NA,NA
"Liechtenstein","LIE",2019,NA,NA,NA,NA,NA
"Lithuania","LTU",2014,26.2325280995561,0.377,2.1,28.9,22.2
"Luxembourg","LUX",2017,95.6656580310466,0.349,2.4,25.8,NA
"Macao SAR, China","MAC",2018,109.932447433559,NA,NA,NA,NA
"Madagascar","MDG",2012,1.60061495154639,0.426,2.2,33.5,70.7
"Malawi","MWI",2016,1.13963065020559,0.447,2.6,38.1,51.5
"Malaysia","MYS",2015,25.3904352588725,0.41,2.3,31.3,0.4
"Maldives","MDV",2016,12.9034413196624,0.313,3.4,25.2,8.2
"Mali","MLI",2009,1.83597156484773,0.33,3.3,25.7,41.1
"Malta","MLT",2017,37.1463298952634,0.292,3.4,23.3,NA
"Marshall Islands","MHL",2018,3.53956739368279,NA,NA,NA,NA
"Mauritania","MRT",2014,3.7791011551619,0.326,3,24.9,31
"Mauritius","MUS",2017,20.3194911077238,0.368,2.9,29.9,10.3
"Mexico","MEX",2018,18.1337014683237,0.454,2,36.4,41.9
"Micronesia, Fed. Sts.","FSM",2013,3.15920690108299,0.401,1.9,29.7,41.2
"Moldova","MDA",2015,5.69563066691473,0.27,4.1,22.5,9.6
"Monaco","MCO",2019,NA,NA,NA,NA,NA
"Mongolia","MNG",2018,12.2449817276962,0.327,3.3,25.7,28.4
"Montenegro","MNE",2015,15.2897050048464,0.39,1.8,27.7,24
"Morocco","MAR",2013,7.01823671508179,0.395,2.7,31.9,4.8
"Mozambique","MOZ",2014,1.22245287355544,0.54,1.6,45.5,46.1
"Myanmar","MMR",2017,5.61032470011296,0.307,3.8,25.5,24.8
"Namibia","NAM",2015,10.4499511284424,0.591,1,47.3,17.4
"Nauru","NRU",2018,14.6446181333778,NA,NA,NA,NA
"Nepal","NPL",2010,1.98671001520982,0.328,3.5,26.4,25.2
"Netherlands","NLD",2017,48.8090890586595,0.285,3.5,23.3,NA
"New Caledonia","NCL",2019,NA,NA,NA,NA,NA
"New Zealand","NZL",2018,36.3515747263046,NA,NA,NA,NA
"Nicaragua","NIC",2014,4.68454111968376,0.462,2,37.2,29.6
"Niger","NER",2014,0.900136918215285,0.343,3.2,27,44.5
