"Code","Growth","GovShare","InvShare","Openness","Life","Education","Literacy","InitYear","InitGDP"
"ABW",3.92372674586012,17.7280336928864,43.449288358291,120.264134369791,72.3406610169492,32.11752,97.3071033333333,1970,5914.52873894101
"AGO",0.524813958449843,19.6796041447669,37.095494599392,42.6271178914855,46.5141694915254,15.86353,66.717765,1970,3910.60738221479
"AIA",1.99763414743372,12.8204481676221,59.000555301706,122.586818101505,NA,NA,NA,1970,8999.28715875863
"ALB",2.97555396568915,20.2727620800336,18.3329531573691,20.3903390026729,71.5634406779661,41.4258725,97.377008,1970,2871.91848219043
"ARE",-2.89251570864467,4.02488565305249,39.4286853571733,48.6325476240988,69.2322711864407,59.1099625,77.0027925,1970,255408.932764282
"ARG",2.75923000278256,9.79239285430488,14.6437263664077,19.1844692672877,71.0317288135593,38.22499,98.2632153846154,1950,2640.55547137998
"ARM",1.77925650115827,23.6591257953218,14.3754353081542,22.0205286783832,70.6048305084746,88.4386925,99.40815,1990,6157.91798837478
"ATG",3.34446845194929,42.4312528222799,25.0482293777168,128.870617051143,70.6924406779661,NA,98.95,1970,4207.8650407557
"AUS",1.89261352662243,12.4388219569536,30.1816833150737,33.2561473745634,76.5027697395618,71.945502,99,1950,13546.154372068
"AUT",3.3913794687715,15.294304796878,26.1571010465131,66.4188768057262,75.1964034725093,71.4389776923077,99,1950,5311.27226034801
"AZE",2.75333748953167,23.4751196578145,16.2629693314167,29.6137063065544,65.95,87.2770483333333,99.6751627272727,1990,7074.89516636503
"BDI",0.180108883298664,12.8339334985177,9.9277651387042,16.7868766580419,49.0218305084746,3.32538,49.5376683333333,1960,671.338746948779
"BEL",2.6147866002567,16.9003158259918,29.2742931010092,152.480749698246,75.5081934683754,58.46876,99,1950,8068.9709583386
"BEN",0.483564819243517,22.4815199562049,11.454679902201,15.4199051386598,50.8862372881356,1.1,30.39987,1959,1483.51182741067
"BFA",1.69778445578874,16.0996014094454,18.436732427296,14.435867055998,47.9476101694915,2.43597,23.0560922222222,1959,614.839221798225
"BGD",1.57225514049176,8.5288248403724,13.225441950105,11.2684776665154,58.3235254237288,23.475994,56.844635,1959,1388.1112718109
