"Year","ABW","AGO","AIA","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUW","CYM","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ESP","EST","ETH","FIN","FJI","FRA","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GTM","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KNA","KOR","KWT","LAO","LBN","LBR","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MSR","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","PSE","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SRB","STP","SUR","SVK","SVN","SWE","SWZ","SXM","SYC","SYR","TCA","TCD","TGO","THA","TJK","TKM","TTO","TUN","TUR","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VGB","VNM","YEM","ZAF","ZMB","ZWE"
1970,NA,NA,NA,NA,NA,5.63,NA,NA,7.09,6.36,NA,NA,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,NA,NA,NA,NA,8.1,7.44,3.54,NA,NA,NA,4.2,NA,4.86,NA,NA,NA,NA,NA,NA,NA,7.58,NA,NA,6.96,NA,NA,4.43,NA,5.95,NA,NA,7.17,NA,6.53,NA,6.03,NA,NA,NA,NA,NA,NA,6.26,NA,6.72,8.27,NA,NA,NA,NA,4.13,5.14,6.73,5.59,NA,5.9,4.72,6.32,NA,NA,7.63,NA,5.04,NA,NA,NA,5.74,NA,NA,NA,NA,NA,NA,NA,NA,8.14,NA,NA,4.63,NA,5.47,NA,6.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26,NA,NA,3.88,NA,7.14,6.31,NA,6.6,NA,4.28,NA,4.29,5.12,NA,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94,NA,NA,NA,NA,NA,NA,NA,5.57,NA,NA,NA,4.3,NA,NA,NA,6.11,NA,NA,NA,4.48,3.43,6.42,4.17,NA,NA,NA,7.88,NA,NA,7.16,NA,NA,NA,5.97,NA,NA
1975,NA,NA,NA,NA,NA,3.13,NA,NA,6.18,6.04,NA,4.02,6.86,NA,NA,3.28,NA,NA,6.43,NA,NA,NA,NA,NA,4.17,NA,NA,NA,NA,NA,7.29,7.18,3.49,NA,NA,NA,3.86,NA,4.61,NA,NA,6.63,NA,NA,5.96,NA,6.97,NA,NA,6.21,NA,NA,5.35,3.88,5.53,NA,NA,6.13,5.25,5.86,NA,6.13,NA,3.46,NA,NA,NA,NA,5.77,NA,7.27,8.39,NA,NA,NA,NA,4.67,4.3,6.05,5.57,NA,4.49,4.05,5.38,NA,4.98,6.91,NA,4.75,NA,NA,NA,5.18,NA,NA,NA,NA,NA,NA,NA,NA,8.33,NA,NA,4.8,NA,NA,NA,5.64,NA,5.55,NA,NA,NA,NA,NA,NA,NA,5.34,5.04,6.05,NA,5.33,3.78,NA,6.74,5.72,NA,5.8,NA,3.38,7.32,3.31,4.91,NA,3.79,NA,NA,NA,NA,NA,3.08,NA,NA,NA,6.89,4.79,NA,NA,NA,NA,NA,NA,5.51,NA,NA,NA,4.62,NA,NA,NA,5.79,NA,NA,4.42,4.51,3.83,5.63,3.28,2.76,NA,NA,7.99,NA,NA,6.12,NA,NA,NA,5.34,4.03,NA
1980,NA,NA,NA,NA,5.76,4.23,NA,NA,6.95,6.48,NA,3.94,7.5,4.52,NA,3.33,NA,7.12,6.28,NA,NA,5.59,NA,4.05,3.92,NA,NA,NA,5.45,4.49,7.86,7.68,5.16,3.59,5.1,5.31,2.78,4.57,4.65,NA,NA,5.5,NA,NA,5.51,NA,7.33,NA,NA,6.39,5.62,3.44,5.72,4.36,5.9,NA,NA,6.6,5.59,6.11,4.36,6.86,NA,2.71,NA,NA,NA,NA,5.7,NA,6.34,8.66,5.37,NA,5.12,3.77,4.73,5.04,6.51,3.43,NA,5.2,3.6,5.63,3.99,5.06,7.46,NA,4.81,NA,NA,NA,5.42,3.72,NA,NA,NA,NA,4.57,NA,NA,8.16,NA,NA,4.25,NA,3.8,NA,5.12,NA,5.6,5.57,3.81,NA,NA,NA,NA,NA,5.11,4.39,6.63,NA,4.49,3.48,3.43,7.42,5.87,5.35,6.49,NA,4.23,6.08,3.43,5.07,NA,5.71,6.07,NA,NA,NA,NA,4.45,NA,NA,4.73,7.29,4.66,4.14,NA,NA,NA,NA,NA,5.88,NA,NA,NA,3.51,NA,NA,4.1,5.86,NA,NA,4.85,4.61,3.64,6.36,4.09,2.87,NA,6.24,8.21,NA,NA,6.67,NA,NA,NA,5.27,4.65,4.38
1985,NA,NA,NA,NA,6.4,3.54,NA,NA,7.3,6.49,NA,4.45,7.47,4.29,NA,3.63,5.09,6.43,6.32,NA,NA,5.4,NA,3.48,2.96,NA,NA,NA,5.74,4.43,7.96,8.22,5.63,4.77,5.26,5.37,3.48,4.23,5.09,NA,NA,5.35,NA,NA,5.49,NA,7.42,NA,NA,6.52,5.34,3.33,4.63,4.74,6.29,NA,NA,6.88,5.97,6.07,5.17,7.85,NA,3.05,NA,NA,2.76,NA,5.16,NA,5.1,8.32,5.71,NA,4.93,4.34,5.69,4.76,6.6,3.65,NA,5.46,4.1,5.9,5.07,5.43,7.64,NA,5.25,NA,NA,NA,5.51,5.61,NA,NA,NA,NA,4.74,NA,NA,8.46,NA,NA,4.93,NA,4.14,NA,4.66,NA,4.84,5.34,3.52,NA,NA,NA,NA,NA,6.45,4.8,6.64,NA,4.45,4.08,1.99,7.49,6.52,4.97,6.42,6.54,4.82,6.7,2.41,4.83,3.68,5.55,5.18,NA,NA,4.84,NA,NA,NA,NA,4.78,7.54,3.57,4.36,NA,NA,NA,NA,NA,6.63,NA,NA,NA,2.91,NA,4.7,5.2,5.96,NA,NA,4.9,4.48,4.72,6.62,3.68,2.81,NA,6.11,8.36,NA,NA,6,NA,NA,NA,5.08,3.46,4.63
1990,NA,NA,NA,4.23,6.99,4.5,NA,NA,7.85,7.04,NA,4.69,7.71,4.81,NA,4.36,4.25,6.45,6.44,NA,NA,5.9,NA,5.6,4.22,NA,NA,NA,5.96,4.97,8.24,8.3,6.67,4.06,5.04,5.5,3.04,4.62,5,NA,NA,6.94,NA,NA,5.92,NA,7.76,NA,NA,7.3,4.41,3.03,5.37,4.46,6.69,NA,NA,7.11,5.74,7.22,5.36,8.29,NA,4.88,NA,NA,3.06,NA,6,NA,5.86,8.69,5.65,NA,4.9,4.99,5.88,4.82,7.09,4.17,NA,6.95,4.57,6.86,5.54,5.32,8.07,NA,5.42,NA,NA,NA,6.43,4.94,NA,NA,NA,NA,4.66,NA,NA,8.22,NA,NA,4.95,NA,4.23,NA,6.2,NA,5.2,5.54,2.51,NA,NA,NA,NA,NA,6.19,5.19,7.19,4.91,4.77,3.61,3.04,7.67,7.14,5.08,7.94,6.11,4.81,6.86,3.79,5.84,3.73,6.29,5.88,NA,NA,4.86,NA,4.73,NA,NA,4.92,8.31,3.73,4.84,NA,NA,NA,NA,NA,7.14,NA,NA,NA,3.11,NA,5.2,5.33,6.69,NA,NA,5.44,5.26,4.78,7.12,3.96,2.77,NA,6.52,8.55,NA,NA,5.52,NA,NA,NA,5.31,2.97,4.87
1995,NA,NA,NA,5.01,6.48,6.99,NA,NA,8.09,7.29,NA,4.25,7.48,4.55,NA,5.19,4.85,6.73,6.41,NA,NA,6.63,NA,6.88,4.7,NA,NA,NA,6.44,4.83,8.15,8.25,7.42,5.07,5.07,5.31,3.33,4.92,5.54,NA,NA,7.32,NA,NA,6.35,6.19,7.81,NA,NA,7.87,6.06,3.61,6.26,5.84,7.33,6.38,NA,7.7,6.08,7.14,5.28,8.34,NA,5.35,NA,NA,3.27,NA,6.44,NA,7.16,9.07,6.55,5.07,5.4,6.37,6.13,5.78,8.34,3.95,NA,7.81,6.02,6.85,6.71,6.02,7.57,NA,5.91,NA,NA,NA,6.64,6.29,NA,NA,NA,NA,5.93,NA,5.49,8.06,5.59,NA,5.8,NA,4.45,NA,6.44,NA,5.07,7,2.95,NA,NA,NA,NA,NA,7.88,4.44,7.27,5.68,4.14,3.73,6.16,8.08,7.71,5.36,8.83,6.57,5.58,7.88,6.5,7.11,5.45,7.48,7.02,NA,NA,4.12,4.27,3.55,NA,NA,4.42,8.7,4.38,7.6,NA,NA,NA,5.52,5.56,7.55,NA,NA,NA,3.86,NA,5.18,5.21,7.06,NA,NA,7.18,5.64,5.68,7.3,5.37,5.06,3.18,6.67,8.55,NA,NA,4.34,NA,NA,NA,5.95,4.75,5.72
2000,NA,NA,NA,6.56,6.97,7.38,NA,NA,8.3,8.1,NA,4.71,7.9,5.49,NA,5.8,5.69,7.34,6.66,NA,NA,6.34,NA,6.96,6.02,NA,NA,NA,7.46,5.25,8.34,8.79,7.45,5.77,5.76,5.58,3.89,4.23,6.21,NA,NA,7.46,NA,NA,6.7,7,8,NA,NA,8.16,6.79,4.64,5.76,6.51,7.86,7.72,NA,8.09,6.6,7.63,5.61,8.63,NA,5.81,NA,NA,4.44,NA,7.06,NA,6.88,8.85,6.86,6.37,7.03,7.11,5.93,6.45,8.16,5.49,NA,8.08,6.9,7.75,7.41,6.96,8.06,NA,7.08,NA,NA,NA,6.94,6.77,NA,NA,NA,NA,6.23,NA,7.25,8.33,7.62,NA,5.96,NA,5.88,NA,6.59,NA,6.02,7.18,3.45,NA,NA,NA,NA,NA,7.59,5.12,6.58,6.67,5.21,5.14,7.03,8.1,7.49,5.8,8.6,7.37,5.53,7.61,7.52,7.03,6.62,7.54,6.86,NA,NA,5.73,5.42,5.58,NA,NA,5.6,8.53,4.75,7.72,NA,NA,NA,7,6.65,7.85,NA,NA,NA,4.95,NA,5.54,5.51,6.63,NA,NA,7.49,6.13,5.84,7.32,6.18,7.13,4.76,7.07,8.69,NA,NA,5.84,NA,NA,NA,7.04,6.7,4.42
2001,NA,NA,NA,6.63,6.99,6.86,NA,NA,8.2,7.95,NA,5.04,7.56,5.66,NA,5.71,6.23,7.13,6.75,NA,NA,6.18,NA,6.78,6.02,NA,NA,NA,7.22,5.37,8.17,8.61,7.62,5.85,5.75,5.76,3.81,4.62,6.41,NA,NA,7.33,NA,NA,6.72,7.11,7.84,NA,NA,7.99,6.87,4.72,5.66,6.38,7.69,7.79,NA,8.09,6.46,7.38,5.43,8.54,NA,5.95,NA,NA,5.01,NA,6.97,NA,6.93,8.83,6.76,6.08,6.43,7.41,5.64,6.34,7.96,5.79,NA,8,6.94,7.63,7.28,6.8,7.78,NA,7.16,NA,NA,NA,7.23,7.25,NA,NA,NA,NA,6.2,NA,7.17,8.32,7.6,NA,5.81,NA,6.29,NA,6.52,NA,5.7,7.18,3.52,NA,NA,NA,NA,NA,7.42,5.67,6.18,6.41,4.92,5.04,6.76,7.89,7.39,5.83,8.42,7.4,5.66,7.54,7.53,6.94,6.55,7.44,6.87,NA,NA,5.76,5.45,5.85,NA,NA,5.54,8.47,4.52,7.59,NA,NA,NA,6.92,6.88,7.63,NA,NA,NA,5.27,NA,5.87,5.63,6.63,NA,NA,7.48,6.18,5.59,7.24,6.23,7.12,5.01,7,8.53,NA,NA,5.86,NA,NA,NA,7.01,6.9,3.66
2002,NA,NA,NA,6.85,7.17,6.29,NA,NA,8.17,7.92,NA,4.97,7.67,6.09,NA,5.79,6.67,7.13,6.72,NA,NA,6.49,NA,6.58,6.26,NA,NA,NA,7.24,5.18,8.12,8.69,7.65,6.06,5.61,5.65,4.71,4.46,6.37,NA,NA,7.2,NA,NA,7.15,7.17,7.86,NA,NA,8.01,6.79,4.71,6.15,5.94,7.62,7.83,NA,8.01,6.53,7.46,5.37,8.54,NA,6.29,NA,NA,5.06,NA,7.09,NA,6.99,8.75,6.9,6.29,6.51,7.17,5.88,6.44,7.95,5.63,NA,7.92,7.27,7.66,7.27,6.94,7.65,NA,6.85,NA,NA,NA,7.24,7.27,NA,NA,NA,NA,6.15,NA,7.52,8.08,7.75,NA,5.93,NA,5.86,NA,6.71,NA,5.55,7.08,3.14,NA,NA,NA,NA,NA,7.36,5.77,6.31,6.62,5,5.45,7.03,7.86,7.28,5.91,8.5,7.41,5.8,7.48,7.48,6.97,6.69,7.48,6.66,NA,NA,6.3,5.8,6.16,NA,NA,5.74,8.63,5.06,7.5,NA,NA,NA,6.99,6.84,7.73,NA,NA,NA,5.11,NA,5.64,5.82,6.71,NA,NA,7.37,6.21,5.77,7.37,6.1,6.91,5.46,7.12,8.53,NA,NA,4.74,NA,NA,NA,6.97,6.52,3.64
2003,NA,NA,NA,7.34,7.12,6.19,NA,NA,8.18,8.04,NA,4.79,7.7,6.08,NA,5.71,6.91,7.09,7.07,NA,NA,6.57,NA,6.51,6.1,NA,NA,NA,7.08,5.48,8.21,8.62,7.8,6.11,5.69,5.72,4.83,4.68,6.47,NA,NA,7.4,NA,NA,7.04,7.07,7.94,NA,NA,8.12,6.33,4.74,6.15,5.82,7.81,7.95,NA,8.01,6.5,7.47,5.43,8.55,7.02,6.46,NA,NA,5.12,NA,7.36,NA,7.09,8.8,6.96,6.35,6.58,7.26,6.13,6.49,8.11,5.75,NA,8.14,7.28,7.36,7.37,6.93,7.97,NA,6.93,NA,NA,NA,7.35,7.31,NA,NA,NA,NA,6.29,NA,7.52,8.14,7.6,NA,6.06,NA,6.05,NA,6.69,6.27,5.92,6.72,3.25,NA,NA,5.93,NA,NA,7.29,6.08,6.39,6.72,4.98,5.45,7.07,7.87,7.74,5.68,8.53,7.47,5.59,7.54,7.47,7.02,6.58,7.47,6.71,NA,NA,6.49,5.89,5.95,NA,NA,5.67,8.57,5.31,7.55,NA,NA,NA,7.07,6.95,7.8,NA,NA,NA,5.07,NA,5.59,5.67,6.75,NA,NA,7.27,6.21,6.14,7.39,6.1,6.89,5.38,6.95,8.51,NA,NA,4.37,NA,5.59,NA,7.11,6.77,3.7
