"Country","Code","HDI","IHDI","Share.bottom.40.","Share.top.10.","Share.top.1.","Gini","GNI","Exp.Schooling","Mean.Schooling","Life.Exp"
"Aruba","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO",0.574487757656951,0.392022345784139,15,32.3,NA,42.7,5555,11.8,5.1,60.8
"Anguilla","AIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","ALB",0.791405876179537,0.704803760092314,22.1,22.9,6.4000003,29,12300,15.2,10.1,78.5
"United Arab Emirates","ARE",0.866437670203764,NA,NA,NA,22.81000018,NA,66912,13.6,11,77.8
"Argentina","ARG",0.830095812117932,0.713737919066705,15.3,29.4,NA,40.6,17611,17.6,10.6,76.5
"Armenia","ARM",0.760010886473831,0.684842103862421,20.8,28.4,NA,33.6,9277,13.2,11.8,74.9
"Antigua and Barbuda","ATG",0.776163151213478,NA,NA,NA,NA,NA,22201,12.5,9.3,76.9
"Australia","AUS",0.938378552404198,0.862000328586019,18.8,27.8,9.07000005,35.8,44097,22.1,12.7,83.3
"Austria","AUT",0.913808548217478,0.843172880975146,21.1,23.8,8.16999972,30.5,46231,16.3,12.6,81.4
"Azerbaijan","AZE",0.75386866073575,0.682927086297864,NA,NA,NA,NA,15240,12.4,10.5,72.9
"Burundi","BDI",0.422881598194768,0.295759888593497,17.9,31,NA,38.6,660,11.3,3.1,61.2
"Belgium","BEL",0.918841196910571,0.848889433549665,22.6,22.2,6.69,27.7,43821,19.7,11.8,81.5
"Benin","BEN",0.519834165001226,0.327191548006143,12.8,37.6,NA,47.8,2135,12.6,3.8,61.5
"Burkina Faso","BFA",0.43354704878473,0.303226657219671,20,29.6,NA,35.3,1705,8.9,1.6,61.2
"Bangladesh","BGD",0.613679337404609,0.464719348734281,21,26.8,NA,32.4,4057,11.2,6.1,72.3
"Bulgaria","BGR",0.815710786220969,0.713532123350626,17.8,28.8,8.35999995,37.4,19646,14.8,11.8,74.9
"Bahrain","BHR",0.837770190229584,NA,NA,NA,18.00000072,NA,40399,15.3,9.4,77.2
"Bahamas","BHS",0.805483273566233,NA,NA,NA,NA,NA,28395,12.8,11.5,73.8
"Bosnia and Herzegovina","BIH",0.769187275316695,0.658372541886834,19.8,25.1,6.15000017,33,12690,13.8,9.7,77.3
"Belarus","BLR",0.817067987091786,0.765089239100116,24.1,21.3,NA,25.4,17039,15.4,12.3,74.6
"Belize","BLZ",0.720169787036352,0.557675554791127,NA,NA,NA,NA,7136,13.1,9.8,74.5
"Bermuda","BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia (Plurinational State of)","BOL",0.702842353222393,0.532829621417009,13.6,31.7,NA,44,6849,14,9,71.2
"Brazil","BRA",0.76115282282461,0.574351184849598,10.6,41.9,28.34999859,53.3,14068,15.4,7.8,75.7
"Barbados","BRB",0.813310489264994,0.675419119441223,NA,NA,NA,NA,15912,15.2,10.6,79.1
"Brunei Darussalam","BRN",0.844586934536554,NA,NA,NA,NA,NA,76389,14.4,9.1,75.7
"Bhutan","BTN",0.617298752281719,0.449720862197025,17.5,27.9,NA,37.4,8609,12.1,3.1,71.5
"Botswana","BWA",0.727787113644473,NA,10.9,41.5,NA,53.3,15951,12.7,9.3,69.3
"Central African Republic","CAF",0.38066211113133,0.22230847244113,10.3,46.2,NA,56.2,777,7.6,4.3,52.8
"Canada","CAN",0.922111309344992,0.841234509850895,18.9,25.3,13.61999959,34,43602,16.1,13.3,82.3
"Switzerland","CHE",0.945936116629152,0.881521176921575,20.3,25.2,11.93000004,32.3,59375,16.2,13.4,83.6
"Chile","CHL",0.846947981694198,0.696111001693025,14.4,37.9,23.65999967,46.6,21972,16.5,10.4,80
"China","CHN",0.757587428748823,0.635627202052012,17,29.4,13.9200002,38.6,16127,13.9,7.9,76.7
"Côte d'Ivoire","CIV",0.515747128403892,0.331347063988727,15.9,31.9,17.08000004,41.5,3589,9.6,5.2,57.4
"Cameroon","CMR",0.562725314054388,0.370721733164645,13,35,NA,46.6,3291,12.7,6.3,58.9
"Congo (Democratic Republic of the)","COD",0.458730070735528,0.316302662580077,15.5,32,NA,42.1,800,9.7,6.8,60.4
"Congo","COG",0.608499599934289,0.456124971582864,12.4,37.9,NA,48.9,5804,11.6,6.5,64.3
"Colombia","COL",0.760894930926648,0.584781841942835,12.4,39,20.45000046,49.7,12896,14.6,8.3,77.1
"Comoros","COM",0.537825656164943,0.294290070631249,13.6,33.7,NA,45.3,2426,11.2,4.9,64.1
"Cabo Verde","CPV",0.650692937500233,NA,NA,NA,NA,47.2,6513,11.9,6.2,72.8
"Costa Rica","CRI",0.793519946378668,0.64498902173987,12.8,37,NA,48.3,14790,15.4,8.7,80.1
"Curacoa","CUW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","CYP",0.872955393887627,0.78784892204591,20,27.4,8.56000036,34,33100,14.7,12.1,80.8
"Czechia","CZE",0.890754657933538,0.849874672954712,24.4,22.1,9.45999995,25.9,31597,16.8,12.7,79.2
"Germany","DEU",0.9387847060567,0.860675658406731,20.7,24.8,11.12999991,31.7,46946,17.1,14.1,81.2
"Djibouti","DJI",0.495433259547952,NA,15.8,32.3,NA,41.6,3601,6.5,4,66.6
"Dominica","DMA",0.723788028755894,NA,NA,NA,NA,NA,9245,13,7.8,78.1
"Denmark","DNK",0.929946115055509,0.873394206274217,23.3,23.8,12.82999963,28.2,48836,19.1,12.6,80.8
"Dominican Republic","DOM",0.744640742308084,0.584289699385292,13.9,35.4,NA,45.7,15074,14.1,7.9,73.9
"Algeria","DZA",0.758977696706234,0.604353918965078,23.1,22.9,NA,27.6,13639,14.7,8,76.7
"Ecuador","ECU",0.757916350872878,0.606951018955138,14.1,33.8,NA,44.7,10141,14.9,9,76.8
"Egypt","EGY",0.699726797920563,0.491805387374737,21.9,27.8,19.13000047,31.8,10744,13.1,7.3,71.8
"Spain","ESP",0.892788460825464,0.764723448263649,17.5,26.2,9.82000008,36.2,35041,17.9,9.8,83.4
"Estonia","EST",0.881542297895028,0.817683834358101,20,24.4,6.98999986,32.7,30379,16.1,13,78.6
"Ethiopia","ETH",0.469849625340561,0.336584622216522,17.6,31.4,NA,39.1,1782,8.7,2.8,66.2
"Finland","FIN",0.925191724468301,0.876042860599696,23.4,22.4,7.28999972,27.1,41779,19.3,12.4,81.7
"Fiji","FJI",0.723698869420023,NA,18.8,29.7,NA,36.7,9110,14.4,10.9,67.3
"France","FRA",0.891056777724811,0.809037319491591,20.7,26.6,10.8,32.7,40511,15.5,11.4,82.5
"Gabon","GAB",0.701625266147753,0.543733381290485,16.8,27.7,NA,38,15794,12.9,8.3,66.2
"United Kingdom","GBR",0.920351548453539,0.844774630005699,19.7,25.4,11.71,33.2,39507,17.4,13,81.2
"Georgia","GEO",0.786359091897723,0.691800700423166,17.4,28.9,NA,37.9,9570,15.4,12.8,73.6
"Ghana","GHA",0.595669716475157,0.427017514783192,14.3,32.2,NA,43.5,4099,11.5,7.2,63.8
"Guinea","GIN",0.465515000621699,0.309818685974642,19.8,26.4,NA,33.7,2211,9,2.7,61.2
"Gambia","GMB",0.465724901352787,0.292687054681966,19,28.7,NA,35.9,1490,9.5,3.7,61.7
"Guinea-Bissau","GNB",0.461406000722445,0.288410059157714,12.8,42,NA,50.7,1593,10.5,3.3,58
"Equatorial Guinea","GNQ",0.588421644686769,NA,NA,NA,NA,NA,17796,9.2,5.6,58.4
"Greece","GRC",0.871952125926398,0.765942714464896,17.7,26.2,10.83,36,24909,17.3,10.5,82.1
"Grenada","GRD",0.763383380917163,NA,NA,NA,NA,NA,12684,16.6,8.8,72.4
"Guatemala","GTM",0.651035337183963,0.472331940222471,13.1,38,NA,48.3,7378,10.6,6.5,74.1
"Hong Kong, China (SAR)","HKG",0.93880914959384,0.815299777542039,NA,NA,NA,NA,60221,16.5,12,84.7
"Honduras","HND",0.622981471060965,0.464245737329985,11,37.7,NA,50.5,4258,10.2,6.6,75.1
"Croatia","HRV",0.837313319411774,0.767983020366134,20.4,23.2,7.5800002,31.1,23061,15,11.4,78.3
"Haiti","HTI",0.502731374551794,0.29908717958796,15.8,31.2,NA,41.1,1665,9.5,5.4,63.7
"Hungary","HUN",0.844699935545314,0.777074626034024,21.1,23.8,7.7200003,30.4,27144,15.1,11.9,76.7
"Indonesia","IDN",0.706857949708208,0.583579472861907,17.5,29.5,NA,38.1,11256,12.9,8,71.5
"India","IND",0.646901099922656,0.476618107161469,19.8,30.1,21.340001,35.7,6829,12.3,6.5,69.4
"Ireland","IRL",0.942472820797525,0.865261516899131,20.9,25.4,12.800001,31.8,55660,18.8,12.5,82.1
"Iran (Islamic Republic of)","IRN",0.797483335773824,0.705604367183418,16.6,30.9,16.26,40,18166,14.7,10,76.5
"Iraq","IRQ",0.688784073662805,0.552431730928137,21.9,23.7,22.02,29.5,15365,11.1,7.3,70.5
"Iceland","ISL",0.938473875045387,0.884563600209459,23.2,23.5,6.78,27.8,47566,19.2,12.5,82.9
