"Year","ABW","AGO","AIA","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUW","CYM","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ESP","EST","ETH","FIN","FJI","FRA","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GTM","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KNA","KOR","KWT","LAO","LBN","LBR","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MSR","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","PSE","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SRB","STP","SUR","SVK","SVN","SWE","SWZ","SXM","SYC","SYR","TCA","TCD","TGO","THA","TJK","TKM","TTO","TUN","TUR","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VGB","VNM","YEM","ZAF","ZMB","ZWE"
1950,NA,NA,NA,NA,NA,0.078308425843716,NA,NA,0.076100923120976,0.178232088685036,NA,NA,0.114614732563496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080598995089531,0.131792157888412,NA,NA,NA,NA,NA,0.086260721087456,0.053898394107819,NA,NA,NA,NA,0.168479681015015,NA,0.069323755800724,NA,NA,0.083101131021977,NA,NA,0.138328835368156,NA,0.140122801065445,NA,NA,0.124069653451443,NA,NA,0.136812418699265,0.211643442511559,0.088750094175339,NA,0.111478611826897,0.128128200769424,NA,0.14128965139389,NA,0.165749937295914,NA,NA,NA,NA,NA,NA,NA,NA,0.087831780314446,NA,0.065459117293358,NA,NA,NA,NA,0.067370414733887,0.124058820307255,NA,NA,0.084125436842442,0.343328535556793,0.164792388677597,NA,NA,0.329558849334717,NA,0.051906809210777,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077610589563847,NA,NA,0.099509969353676,NA,NA,0.071167439222336,NA,NA,NA,0.03162344917655,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132390290498734,NA,NA,NA,NA,0.232507213950157,0.046173740178347,0.160964995622635,0.12571431696415,NA,0.139478430151939,NA,0.098385058343411,0.139707535505295,0.109368517994881,0.130151957273483,NA,0.087338857352734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111657969653606,NA,NA,NA,NA,NA,0.145319938659668,NA,NA,NA,NA,NA,NA,NA,0.100144311785698,NA,NA,0.039700981229544,NA,0.075221300125122,NA,NA,0.108187466859817,NA,0.138062730431557,0.101764157414436,NA,NA,0.194029361009598,NA,NA,NA,0.076635204255581,NA,NA
1951,NA,NA,NA,NA,NA,0.077147133648396,NA,NA,0.093894511461258,0.180041685700417,NA,NA,0.123241111636162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061822209507227,0.138674765825272,NA,NA,NA,NA,NA,0.111353643238544,0.053837366402149,0.139014065265656,NA,NA,NA,0.183179378509521,NA,0.077869743108749,NA,NA,0.088886424899101,NA,NA,0.122296713292599,NA,0.139686778187752,NA,NA,0.140631943941116,0.107853420078754,NA,0.133554801344872,0.230434820055962,0.090140588581562,NA,0.113708727061748,0.114286080002785,NA,0.144590243697166,NA,0.176998019218445,NA,NA,NA,NA,NA,NA,0.15445402264595,NA,0.097156807780266,NA,0.071329556405544,NA,NA,NA,NA,0.068025320768356,0.137940913438797,NA,NA,0.085981249809265,0.323933035135269,0.17348949611187,NA,NA,0.271361708641052,NA,0.058482848107815,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077661983668804,NA,NA,0.108264051377773,NA,NA,0.075523734092712,NA,NA,NA,0.030444161966443,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146563872694969,NA,NA,NA,NA,0.245400995016098,0.040273293852806,0.158294722437859,0.134512230753899,NA,0.169452801346779,NA,0.105125352740288,0.163452878594399,0.106515482068062,0.132443010807037,NA,0.082877188920975,0.175569921731949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123013690114021,NA,NA,NA,NA,NA,0.152720704674721,NA,NA,NA,NA,NA,NA,NA,0.104558877646923,NA,NA,0.042950075119734,NA,0.065389148890972,0.339490354061127,NA,0.085382223129273,NA,0.137602537870407,0.126224473118782,NA,NA,0.192937269806862,NA,NA,NA,0.074916526675224,NA,NA
1952,NA,NA,NA,NA,NA,0.083106137812138,NA,NA,0.105277471244335,0.177291542291641,NA,NA,0.125916585326195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053582921624184,0.129996478557587,NA,NA,NA,NA,NA,0.125718474388123,0.057884566485882,0.149592116475105,0.138635218143463,NA,NA,0.175212875008583,NA,0.077874749898911,NA,NA,0.095389232039452,NA,NA,0.120862007141113,NA,0.141507565975189,NA,NA,0.145342037081718,0.116246707737446,NA,0.127785339951515,0.244808539748192,0.090615957975388,NA,0.115561589598656,0.115350693464279,NA,0.149453178048134,NA,0.194412976503372,NA,NA,NA,NA,NA,NA,0.161792993545532,NA,0.110182978212833,NA,0.073429390788078,NA,NA,NA,NA,0.07185335457325,0.136537998914719,NA,NA,0.088173605501652,0.318922698497772,0.174749836325645,NA,NA,0.298105180263519,NA,0.057937812060118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092194363474846,NA,NA,0.107165053486824,NA,NA,0.077699646353722,NA,NA,NA,0.031153665855527,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164969369769096,NA,NA,NA,NA,0.279813140630722,0.039343059062958,0.169772863388062,0.137242838740349,NA,0.170166417956352,NA,0.105384550988674,0.187720611691475,0.112587466835976,0.13295567035675,NA,0.079858735203743,0.154826045036316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126458257436752,NA,NA,NA,NA,NA,0.157515034079552,NA,NA,NA,NA,NA,NA,NA,0.107913337647915,NA,NA,0.050313424319029,NA,0.063226990401745,0.329181909561157,NA,0.10893814265728,NA,0.13570012152195,0.143905088305473,NA,NA,0.173008322715759,NA,NA,NA,0.084938414394856,NA,NA
1953,NA,NA,NA,NA,NA,0.076285466551781,NA,NA,0.090897314250469,0.173471346497536,NA,NA,0.135357916355133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036287534981966,0.158460423350334,NA,NA,NA,NA,NA,0.124685026705265,0.054572250694037,0.171201184391975,0.146264091134071,NA,NA,0.170297920703888,NA,0.086986005306244,NA,NA,0.083587400615215,NA,NA,0.115380607545376,NA,0.137346521019936,NA,NA,0.14728482067585,0.106459572911263,NA,0.132346630096436,0.237073570489883,0.091091379523277,NA,0.111838668584824,0.126712292432785,NA,0.15006922185421,NA,0.191220298409462,NA,NA,NA,NA,NA,NA,0.137638792395592,NA,0.108133599162102,NA,0.076008774340153,NA,NA,NA,NA,0.07327364385128,0.137819930911064,NA,NA,0.079430140554905,0.33392795920372,0.16724868118763,0.051071632653475,NA,0.291616976261139,NA,0.05786219611764,NA,NA,NA,0.190295502543449,NA,NA,NA,NA,NA,0.09247862547636,NA,NA,0.122374996542931,NA,NA,0.087191745638847,NA,NA,NA,0.032310001552105,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152724623680115,NA,NA,NA,NA,0.257815390825272,0.041635602712631,0.175039827823639,0.144462510943413,NA,0.169356033205986,NA,0.103462487459183,0.147971764206886,0.110055208206177,0.12366771697998,NA,0.078940875828266,0.135859727859497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12969583272934,NA,NA,NA,NA,NA,0.164225682616234,NA,NA,NA,NA,NA,NA,NA,0.124743029475212,NA,NA,0.054671723395586,NA,0.066222719848156,0.312401592731476,NA,0.127591893076897,NA,0.13899277150631,0.146942466497421,NA,NA,0.174365535378456,NA,NA,NA,0.082132317125797,NA,NA
1954,NA,NA,NA,NA,NA,0.076912298798561,NA,NA,0.089141637086868,0.171275869011879,NA,NA,0.131955742835999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028651740401983,0.140216678380966,NA,NA,NA,NA,NA,0.121391333639622,0.050980258733034,0.151512399315834,0.132314875721931,NA,NA,0.174782380461693,NA,0.082503259181976,NA,NA,0.099533349275589,NA,NA,0.087031938135624,NA,0.133380085229874,NA,NA,0.150231465697289,0.093200974166393,NA,0.124652072787285,0.241452157497406,0.092527955770493,NA,0.118174083530903,0.115202747285366,NA,0.143165647983551,NA,0.185045018792152,NA,NA,NA,NA,NA,NA,0.147315382957459,NA,0.10128527879715,NA,0.092050269246101,NA,NA,NA,NA,0.082456588745117,0.139359846711159,NA,NA,0.078874208033085,0.328159898519516,0.169092699885368,0.050024289637804,0.334729045629501,0.284796923398972,NA,0.063674755394459,NA,NA,NA,0.180910095572472,NA,NA,NA,NA,NA,0.095508374273777,NA,NA,0.127025753259659,NA,NA,0.096036247909069,NA,NA,NA,0.031883832067251,NA,NA,0.528192222118378,NA,NA,NA,NA,NA,NA,0.158012062311173,0.142010241746902,NA,NA,NA,0.247375056147575,0.043919153511524,0.178844451904297,0.147785499691963,NA,0.148311033844948,NA,0.103100933134556,0.145770743489265,0.123488202691078,0.121530868113041,NA,0.082773514091969,0.148860245943069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144903287291527,NA,NA,NA,NA,NA,0.164659142494202,NA,NA,NA,NA,NA,NA,NA,0.127380281686783,NA,NA,0.057962719351053,NA,0.081549972295761,0.327871561050415,NA,0.127771884202957,NA,0.134631589055061,0.13812030851841,NA,NA,0.166596457362175,NA,NA,NA,0.076259650290012,NA,0.171136468648911
1955,NA,NA,NA,NA,NA,0.075335673987866,NA,NA,0.087237112224102,0.160257682204247,NA,NA,0.125569045543671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021430861204863,0.141284450888634,NA,NA,NA,NA,NA,0.116261176764965,0.04905341938138,0.168406501412392,0.139022052288055,NA,NA,0.172707706689835,NA,0.084621749818325,NA,NA,0.10400316119194,NA,NA,0.096003003418446,NA,0.122685119509697,NA,NA,0.154963701963425,0.117180727422237,NA,0.122459553182125,0.276768893003464,0.092367433011532,NA,0.117555238306522,0.117383852601051,NA,0.142145097255707,NA,0.175869360566139,NA,0.02681833319366,NA,NA,NA,NA,0.142270550131798,NA,0.09709145128727,NA,0.086262166500092,NA,NA,NA,NA,0.08570159226656,0.136693641543388,0.063444375991821,NA,0.078180901706219,0.339602917432785,0.162003234028816,0.048016708344221,0.397408336400986,0.264836102724075,NA,0.079909645020962,NA,NA,NA,0.177263051271439,NA,NA,NA,NA,NA,0.091859616339207,NA,NA,0.122987173497677,NA,NA,0.121935293078423,NA,NA,NA,0.032871007919312,NA,NA,0.587118566036224,NA,NA,NA,NA,NA,NA,0.152540817856789,0.127696290612221,0.139698460698128,NA,NA,0.336098104715347,0.041460424661636,0.176681399345398,0.141835391521454,NA,0.155511170625687,NA,0.103224076330662,0.125764489173889,0.119195632636547,0.118748426437378,NA,0.086447380483151,0.159698411822319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134101405739784,NA,NA,NA,NA,NA,0.166717380285263,NA,NA,NA,NA,NA,NA,NA,0.13670451939106,NA,NA,0.054902661591768,NA,0.087046921253204,0.337157189846039,NA,0.134137466549873,NA,0.138016432523727,0.127262458205223,NA,NA,0.177847921848297,NA,NA,NA,0.080241598188877,0.242538094520569,0.155045390129089
1956,NA,NA,NA,NA,NA,0.08244514465332,NA,NA,0.085764832794666,0.15225225687027,NA,NA,0.124174773693085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036060508340597,0.15481798350811,NA,NA,NA,NA,NA,0.110407501459122,0.047004394233227,0.165827423334122,0.138322174549103,NA,NA,0.17724834382534,NA,0.080494426190853,NA,NA,0.119400337338448,NA,NA,0.138201549649239,NA,0.119099229574204,NA,NA,0.152796164155006,0.123833976686001,NA,0.121116653084755,0.280324399471283,0.092969439923763,NA,0.121166333556175,0.118925407528877,NA,0.145505040884018,NA,0.172229588031769,NA,0.028996303677559,NA,NA,NA,NA,0.136625081300736,NA,0.104631341993809,NA,0.108933918178082,NA,NA,NA,NA,0.084193386137486,0.140679001808167,0.05931843072176,NA,0.086213067173958,0.418631315231323,0.162852078676224,0.050955485552549,0.327632933855057,0.248541921377182,NA,0.074792757630348,NA,NA,NA,0.188000351190567,NA,NA,NA,NA,NA,0.130412057042122,NA,NA,0.104466967284679,NA,NA,0.130594953894615,NA,NA,NA,0.033347137272358,NA,NA,0.468470752239227,NA,NA,NA,NA,NA,NA,0.155335605144501,0.159971922636032,0.143017664551735,NA,NA,0.33585849404335,0.043226815760136,0.177634596824646,0.140833258628845,NA,0.162524580955505,NA,0.107634887099266,0.126705542206764,0.122904501855373,0.118412621319294,NA,0.084414221346378,0.161129325628281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134642511606216,NA,NA,NA,NA,NA,0.169846802949905,NA,NA,NA,NA,NA,NA,NA,0.131152451038361,NA,NA,0.055222120136023,NA,0.079984918236733,0.368694931268692,NA,0.140416458249092,NA,0.138896808028221,0.124208681285381,NA,NA,0.165790587663651,NA,NA,NA,0.080533064901829,0.241934776306152,0.160154610872269
1957,NA,NA,NA,NA,NA,0.076090879738331,NA,NA,0.088113859295845,0.155428782105446,NA,NA,0.1241614818573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085745289921761,0.149010226130486,NA,NA,NA,NA,NA,0.107061490416527,0.050552815198898,0.161185950040817,0.136325299739838,NA,NA,0.190480098128319,NA,0.072476238012314,NA,NA,0.117447197437286,NA,NA,0.191602095961571,NA,0.119979597628117,NA,NA,0.151155531406403,0.132486015558243,NA,0.119289323687553,0.265500783920288,0.094856150448322,NA,0.132334381341934,0.123571500182152,NA,0.142555862665176,NA,0.167922049760818,NA,0.032794959843159,NA,NA,NA,NA,0.133494332432747,NA,0.107905492186546,NA,0.099618591368198,NA,NA,NA,NA,0.096064873039722,0.137813523411751,0.053221557289362,NA,0.09295828640461,0.340437680482864,0.160219922661781,0.048793077468872,0.370948225259781,0.232574641704559,NA,0.075340017676354,NA,NA,NA,0.175060853362083,NA,NA,NA,NA,NA,0.122578307986259,NA,NA,0.104939803481102,NA,NA,0.145447626709938,NA,NA,NA,0.034302361309528,NA,NA,0.509021937847138,NA,NA,NA,NA,NA,NA,0.170128434896469,0.158081740140915,0.143306896090508,NA,NA,0.361559808254242,0.04213323071599,0.172035068273544,0.140998721122742,NA,0.161350727081299,NA,0.111342869699001,0.108386851847172,0.133006393909454,0.115796230733395,NA,0.083531141281128,0.139783099293709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144466102123261,NA,NA,NA,NA,NA,0.172983765602112,NA,NA,NA,NA,NA,NA,NA,0.105179816484451,NA,NA,0.048656933009625,NA,0.064157702028751,0.368839591741562,NA,0.125328809022903,NA,0.139132648706436,0.127099066972733,NA,NA,0.199415877461433,NA,NA,NA,0.080829501152039,0.233641669154167,0.150397390127182
1958,NA,NA,NA,NA,NA,0.073458522558212,NA,NA,0.088259518146515,0.157588750123978,NA,NA,0.135496497154236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098964191973209,0.150474593043327,NA,NA,NA,NA,NA,0.108244709670544,0.055199060589075,0.173149988055229,0.133148640394211,NA,NA,0.201296612620354,NA,0.076464429497719,NA,NA,0.110219538211823,NA,NA,0.236615315079689,NA,0.125690668821335,NA,NA,0.149575099349022,0.154254123568535,NA,0.118394047021866,0.254699051380157,0.088725581765175,NA,0.128202736377716,0.128776967525482,NA,0.13747251033783,NA,0.164378702640533,NA,0.033028014004231,NA,NA,NA,NA,0.126388505101204,NA,0.108366847038269,NA,0.109507337212563,NA,NA,NA,NA,0.095858834683895,0.138595640659332,0.052171319723129,NA,0.087814703583717,0.328422158956528,0.160800203680992,0.050124932080507,0.40905287861824,0.227509379386902,NA,0.075679585337639,NA,NA,NA,0.180125847458839,NA,NA,NA,NA,NA,0.142532587051392,NA,NA,0.118801146745682,NA,NA,0.148384675383568,NA,NA,NA,0.035018086433411,NA,NA,0.345943778753281,NA,NA,NA,NA,NA,NA,0.196028083562851,0.168031930923462,0.151927500963211,NA,NA,0.395272076129913,0.042597342282534,0.167647749185562,0.146788850426674,NA,0.157601341605186,NA,0.109010502696037,0.112128622829914,0.135394781827927,0.116427563130856,NA,0.085894390940666,0.156481429934502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138030782341957,NA,NA,NA,NA,NA,0.175930753350258,NA,NA,NA,NA,NA,NA,NA,0.101891629397869,NA,NA,0.050318244844675,NA,0.061261646449566,0.36922213435173,NA,0.124116986989975,NA,0.147207483649254,0.131643682718277,NA,NA,0.264980167150497,NA,NA,NA,0.084025539457798,0.226445347070694,0.16531828045845
1959,NA,NA,NA,NA,NA,0.078543461859226,NA,NA,0.081841334700584,0.155827820301056,NA,NA,0.137443244457245,0.375498622655869,0.07340045273304,0.01264632679522,NA,NA,NA,NA,NA,NA,NA,0.093005143105984,0.152473330497742,NA,NA,NA,NA,NA,0.102614209055901,0.049027230590582,0.177487999200821,0.144609227776527,NA,NA,0.207047626376152,NA,0.072784572839737,NA,NA,0.119355536997318,NA,NA,0.224806442856789,NA,0.125610038638115,NA,NA,0.145965933799744,0.142147541046143,NA,0.120607413351536,0.296540826559067,0.093526922166348,NA,0.139277189970016,0.127340912818909,NA,0.135245993733406,NA,0.161303654313087,NA,0.030384913086891,0.038560137152672,NA,NA,NA,0.123229950666428,NA,0.112255096435547,NA,0.103303872048855,NA,NA,NA,NA,0.09792771935463,0.134400948882103,0.046280309557915,NA,0.086611524224281,0.306189149618149,0.15579517185688,0.05335646122694,0.349440336227417,0.222449287772179,NA,0.08077933639288,NA,NA,NA,0.174173206090927,NA,NA,NA,NA,NA,0.140681460499764,NA,NA,0.109293080866337,NA,NA,0.144823312759399,NA,NA,NA,0.034280475229025,NA,NA,0.288147658109665,NA,NA,NA,NA,NA,NA,0.203977897763252,0.191367626190186,0.151047334074974,NA,NA,0.435659825801849,0.040742125362158,0.155375555157661,0.149943560361862,NA,0.15426567196846,NA,0.103306822478771,0.106105208396912,0.147900268435478,0.107477858662605,NA,0.086421847343445,0.138449817895889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136966854333878,NA,NA,NA,NA,NA,0.173468232154846,NA,NA,NA,NA,NA,NA,NA,0.094835877418518,NA,NA,0.047295108437538,NA,0.070386379957199,0.36440309882164,NA,0.124851480126381,NA,0.147545009851456,0.122106842696667,NA,NA,0.242028936743736,NA,NA,NA,0.081408418715,0.21974965929985,0.168266966938973
