"Year","ABW","AGO","AIA","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUW","CYM","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ESP","EST","ETH","FIN","FJI","FRA","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GTM","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KNA","KOR","KWT","LAO","LBN","LBR","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MSR","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","PSE","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SRB","STP","SUR","SVK","SVN","SWE","SWZ","SXM","SYC","SYR","TCA","TCD","TGO","THA","TJK","TKM","TTO","TUN","TUR","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VGB","VNM","YEM","ZAF","ZMB","ZWE"
1950,NA,NA,NA,NA,NA,17.1580257415771,NA,NA,8.38667392730713,6.98075151443481,NA,NA,8.63433074951172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8675754070282,53.2433967590332,NA,NA,NA,NA,NA,13.8199329376221,4.62086534500122,NA,NA,NA,NA,12.465479850769,NA,11.933277130127,NA,NA,0.92360258102417,NA,NA,0.493213087320328,NA,68.7293701171875,NA,NA,4.27315235137939,NA,NA,3.44516658782959,22.1272277832031,28.148946762085,NA,19.4533710479736,4.01417350769043,NA,42.6132659912109,NA,50.1296424865723,NA,NA,NA,NA,NA,NA,NA,NA,3.17065143585205,NA,1.40862882137299,NA,NA,NA,NA,369.6728515625,2.96291565895081,NA,NA,0.143163502216339,1.26229393482208,47.0326538085938,NA,NA,84.271369934082,NA,6.12407398223877,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45372009277344,NA,NA,0.296017527580261,NA,NA,9.3966703414917,NA,NA,NA,28.0829086303711,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47948881983757,NA,NA,NA,NA,32.0233306884766,1.28275346755981,10.0899419784546,3.26400923728943,NA,1.90178978443146,NA,34.8762512207031,0.885658860206604,7.71827936172485,19.5991382598877,NA,8.12317180633545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97461819648743,NA,NA,NA,NA,NA,7.02456903457642,NA,NA,NA,NA,NA,NA,NA,19.9303417205811,NA,NA,0.626039385795593,NA,20.6005954742432,NA,NA,5.35350894927979,NA,2.18350744247437,155.639526367188,NA,NA,5.39534091949463,NA,NA,NA,13.6553478240967,NA,NA
1951,NA,NA,NA,NA,NA,17.5251960754395,NA,NA,8.63344860076904,6.98110485076904,NA,NA,8.67332458496094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.927330493927,54.7900543212891,NA,NA,NA,NA,NA,14.134822845459,4.67500877380371,6.38226747512817,NA,NA,NA,12.7071418762207,NA,12.3176221847534,NA,NA,0.953808307647705,NA,NA,0.501200318336487,NA,69.0691223144531,NA,NA,4.30578851699829,2.46307945251465,NA,3.53569483757019,22.6562004089355,28.3847141265869,NA,19.7781753540039,4.0526237487793,NA,42.9582023620606,NA,50.2926559448242,NA,NA,NA,NA,NA,NA,7.53073310852051,NA,3.27403545379639,NA,1.45069134235382,NA,NA,NA,NA,375.97216796875,2.95920872688293,NA,NA,0.145833700895309,1.46238243579865,47.3451728820801,NA,NA,85.6377792358398,NA,6.29230546951294,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67334651947022,NA,NA,0.29785817861557,NA,NA,9.68856334686279,NA,NA,NA,28.8825092315674,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496747732162476,NA,NA,NA,NA,32.7234268188477,1.3217658996582,10.2403736114502,3.29474377632141,NA,1.94073510169983,NA,35.7019805908203,0.908540070056915,7.91415596008301,20.1963558197021,NA,8.16887283325195,1.51365995407105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02547097206116,NA,NA,NA,NA,NA,7.08348274230957,NA,NA,NA,NA,NA,NA,NA,20.5386505126953,NA,NA,0.642581880092621,NA,21.1347789764404,7.75820207595825,NA,5.49817419052124,NA,2.21215105056763,158.304214477539,NA,NA,5.61939859390259,NA,NA,NA,13.9872674942017,NA,NA
1952,NA,NA,NA,NA,NA,17.884973526001,NA,NA,8.8166675567627,6.97337532043457,NA,NA,8.72531414031982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98916840553284,56.3910751342773,NA,NA,NA,NA,NA,14.5835151672363,4.73998069763184,6.510573387146,577.607238769531,NA,NA,12.9535274505615,NA,12.7147617340088,NA,NA,0.986812591552734,NA,NA,0.507190823554993,NA,69.4440460205078,NA,NA,4.33618402481079,2.53661227226257,NA,3.62838959693909,23.1978187561035,28.6373443603516,NA,20.115213394165,4.09588050842285,NA,43.2806434631348,NA,50.4326591491699,NA,NA,NA,NA,NA,NA,7.61626768112183,NA,3.38081240653992,NA,1.49326372146606,NA,NA,NA,NA,382.576934814453,2.95205402374268,NA,NA,0.148195430636406,1.59087204933167,47.5927925109863,NA,NA,86.9401626586914,NA,6.46709775924683,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.90371036529541,NA,NA,0.299698859453201,NA,NA,9.99590110778809,NA,NA,NA,29.7186164855957,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514644265174866,NA,NA,NA,NA,33.4441833496094,1.36205410957336,10.3577756881714,3.32658982276916,NA,1.98797821998596,NA,36.5545692443848,0.93287205696106,8.11589813232422,20.8117694854736,NA,8.20331764221191,1.55419313907623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07953310012817,NA,NA,NA,NA,NA,7.13540315628052,NA,NA,NA,NA,NA,NA,NA,21.1711864471436,NA,NA,0.656598448753357,NA,21.6871509552002,8.04691505432129,NA,5.64731454849243,NA,2.24190950393677,161.038375854492,NA,NA,5.85911130905151,NA,NA,NA,14.3273696899414,NA,NA
1953,NA,NA,NA,NA,NA,18.2389907836914,NA,NA,8.98578643798828,6.9781174659729,NA,NA,8.77275466918945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0530846118927,58.0486602783203,NA,NA,NA,NA,NA,14.975869178772,4.80199861526489,6.62812948226929,587.31396484375,NA,NA,13.2047243118286,NA,13.1253643035889,NA,NA,1.02151608467102,NA,NA,0.514179646968842,NA,69.8420944213867,NA,NA,4.37148189544678,2.6155948638916,NA,3.7243332862854,23.7523860931396,28.8923835754395,NA,20.4649257659912,4.1448450088501,NA,43.5928039550781,NA,50.5956687927246,NA,NA,NA,NA,NA,NA,7.69884395599365,NA,3.49129676818848,NA,1.53731513023376,NA,NA,NA,NA,389.473052978516,2.94720911979675,NA,NA,0.151274263858795,1.63620018959045,47.8833465576172,1.39552223682404,NA,88.1429595947266,NA,6.64940595626831,NA,NA,NA,21.0397663116455,NA,NA,NA,NA,NA,8.14312839508057,NA,NA,0.301539540290833,NA,NA,10.263970375061,NA,NA,NA,30.5930519104004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534073054790497,NA,NA,NA,NA,34.186279296875,1.40379250049591,10.4687128067017,3.35973858833313,NA,2.04039549827576,NA,37.435001373291,0.954810559749603,8.32461738586426,21.4459381103516,NA,8.25421619415283,1.59569120407105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13680791854858,NA,NA,NA,NA,NA,7.18226194381714,NA,NA,NA,NA,NA,NA,NA,21.8421955108643,NA,NA,0.671902716159821,NA,22.2673168182373,8.33300876617432,NA,5.80108070373535,NA,2.27271270751953,163.727584838867,NA,NA,6.11190366744995,NA,NA,NA,14.6876363754272,NA,NA
1954,NA,NA,NA,NA,NA,18.5888900756836,NA,NA,9.19485473632813,6.98589372634888,NA,NA,8.81423664093018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11908912658691,59.7650833129883,NA,NA,NA,NA,NA,15.4225492477417,4.85220432281494,6.74998140335083,597.903747558594,NA,NA,13.4656772613525,NA,13.5499019622803,NA,NA,1.05868780612946,NA,NA,0.522166907787323,NA,70.2592391967773,NA,NA,4.4082202911377,2.69929671287537,NA,3.82419013977051,24.3202114105225,29.1494522094727,NA,20.8277683258057,4.19240760803223,NA,43.9200820922852,NA,50.7676773071289,NA,NA,NA,NA,NA,NA,7.77400684356689,NA,3.60563540458679,NA,1.5852792263031,NA,NA,NA,NA,396.628509521484,2.93666744232178,NA,NA,0.154806837439537,1.67992353439331,48.2248191833496,1.41593754291534,0.754003524780274,89.247802734375,NA,6.83958768844605,NA,NA,NA,21.237943649292,NA,NA,NA,NA,NA,8.37972164154053,NA,NA,0.303380221128464,NA,NA,10.5463056564331,NA,NA,NA,31.5077819824219,NA,NA,0.331706285476685,NA,NA,NA,NA,NA,NA,0.551926791667938,3.09295988082886,NA,NA,NA,35.1820869445801,1.44715714454651,10.5906248092651,3.39308524131775,NA,2.08562827110291,NA,38.3453178405762,0.977513134479523,8.54193210601807,22.0994281768799,NA,8.30535411834717,1.6381721496582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1972987651825,NA,NA,NA,NA,NA,7.22435426712036,NA,NA,NA,NA,NA,NA,NA,22.559009552002,NA,NA,0.690921604633331,NA,22.8849945068359,8.645263671875,NA,5.96022415161133,NA,2.30517554283142,166.632446289063,NA,NA,6.37519979476929,NA,NA,NA,15.0571689605713,NA,3.10401129722595
1955,NA,NA,NA,NA,NA,18.9363079071045,NA,NA,9.41100025177002,6.99261379241943,NA,NA,8.86330318450928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18717622756958,61.5427398681641,NA,NA,NA,NA,NA,15.8310012817383,4.90240955352783,6.88384628295898,609.972778320313,NA,NA,13.7367677688599,NA,13.9888706207275,NA,NA,1.09916532039642,NA,NA,0.529155731201172,NA,70.689453125,NA,NA,4.44123697280884,2.78699159622192,NA,3.92862510681152,24.9016132354736,29.4085750579834,NA,21.2042217254639,4.24047040939331,NA,44.3172569274902,NA,50.9486885070801,NA,5.91649627685547,NA,NA,NA,NA,7.84504175186157,NA,3.72389769554138,NA,1.63572216033936,NA,NA,NA,NA,404.041168212891,2.91603207588196,18.4955787658691,NA,0.158293321728706,1.73918926715851,48.5583076477051,1.43641090393066,0.785660684108734,90.3148803710937,NA,7.03732013702393,NA,NA,NA,21.5306529998779,NA,NA,NA,NA,NA,8.60217189788818,NA,NA,0.305220901966095,NA,NA,10.8431663513184,NA,NA,NA,32.4648742675781,NA,NA,0.331706285476685,NA,NA,NA,NA,NA,NA,0.569553256034851,3.15368580818176,7.2405219078064,NA,NA,36.2092933654785,1.49232316017151,10.7257699966431,3.42623662948608,NA,2.12886905670166,NA,39.2845726013184,1.00290596485138,8.76895618438721,22.7728328704834,NA,8.36356449127197,1.68165612220764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26100707054138,NA,NA,NA,NA,NA,7.27332592010498,NA,NA,NA,NA,NA,NA,NA,23.3210964202881,NA,NA,0.714001834392548,NA,23.5489559173584,8.96700096130371,NA,6.12495946884155,NA,2.34158897399902,169.601715087891,NA,NA,6.64641523361206,NA,NA,NA,15.4358167648315,2.81657838821411,3.19950222969055
1956,NA,NA,NA,NA,NA,19.2801532745361,NA,NA,9.63774490356445,6.99812412261963,NA,NA,8.91864109039307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25734829902649,63.3942451477051,NA,NA,NA,NA,NA,16.2203388214111,4.96639728546143,7.03245544433594,622.4453125,NA,NA,14.0185403823853,NA,14.4427804946899,NA,NA,1.14164125919342,NA,NA,0.535146236419678,NA,71.1347427368164,NA,NA,4.46872186660767,2.87916350364685,NA,4.03719615936279,25.4969100952148,29.669771194458,NA,21.5947971343994,4.28733205795288,NA,44.7577133178711,NA,51.1866989135742,NA,6.08089876174927,NA,NA,NA,NA,7.90952587127686,NA,3.84620547294617,NA,1.68768441677094,NA,NA,NA,NA,411.715972900391,2.89515280723572,19.0065059661865,NA,0.161612555384636,1.81577014923096,48.8458671569824,1.45683574676514,0.818868815898895,91.2713241577148,NA,7.24366521835327,NA,NA,NA,22.0095748901367,NA,NA,NA,NA,NA,8.82305145263672,NA,NA,0.307061582803726,NA,NA,11.1517486572266,NA,NA,NA,33.466495513916,NA,NA,0.331706285476685,NA,NA,NA,NA,NA,NA,0.589573860168457,3.21879458427429,7.44644021987915,NA,NA,37.2686805725098,1.53917300701141,10.863956451416,3.4588086605072,NA,2.17084622383118,NA,40.2582015991211,1.02860248088837,9.00497913360596,23.4667568206787,NA,8.42456340789795,1.72483432292938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32793736457825,NA,NA,NA,NA,NA,7.32556819915772,NA,NA,NA,NA,NA,NA,NA,24.1098499298096,NA,NA,0.735497176647186,NA,24.2637023925781,9.2895450592041,NA,6.29550695419312,NA,2.37756562232971,172.639465332031,NA,NA,6.92730522155762,NA,NA,NA,15.8241910934448,2.88726282119751,3.31280469894409
1957,NA,NA,NA,NA,NA,19.6193332672119,NA,NA,9.85276794433594,7.01171350479126,NA,NA,8.98386859893799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32964849472046,65.3062515258789,NA,NA,NA,NA,NA,16.7776832580566,5.04613494873047,7.19536542892456,636.599182128906,NA,NA,14.3112831115723,NA,14.9129114151001,NA,NA,1.18494176864624,NA,NA,0.545130252838135,NA,71.6001358032227,NA,NA,4.49009275436401,2.97629880905151,NA,4.14945793151856,26.1064395904541,29.9330463409424,NA,22.0000114440918,4.32968759536743,NA,45.2537536621094,NA,51.4327125549316,NA,6.25169372558594,NA,NA,NA,NA,7.97374486923218,NA,3.97269821166992,NA,1.74216878414154,NA,NA,NA,NA,419.665832519531,2.87812066078186,19.5400009155273,NA,0.165370479226112,1.90836358070374,49.1064643859863,1.48106694221497,0.853829026222229,92.0725555419922,NA,7.4582986831665,NA,NA,NA,22.5893287658691,NA,NA,NA,NA,NA,9.05430698394775,NA,NA,0.308902233839035,NA,NA,11.4714021682739,NA,NA,NA,34.521053314209,NA,NA,0.331706285476685,NA,NA,NA,NA,NA,NA,0.607559084892273,3.28959250450134,7.66387414932251,NA,NA,38.3610000610352,1.58759069442749,11.0006694793701,3.49074387550354,NA,2.22178959846497,NA,41.2698211669922,1.05535173416138,9.2488899230957,24.1818256378174,NA,8.48388004302979,1.76898658275604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39809012413025,NA,NA,NA,NA,NA,7.3748927116394,NA,NA,NA,NA,NA,NA,NA,24.9028663635254,NA,NA,0.757685959339142,NA,25.0376682281494,9.59768962860107,NA,6.47209692001343,NA,2.41305947303772,175.788619995117,NA,NA,7.21963167190552,NA,NA,NA,16.2222423553467,2.96089267730713,3.42223954200745
1958,NA,NA,NA,NA,NA,19.9554843902588,NA,NA,10.0583915710449,7.03335332870483,NA,NA,9.04742813110352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40416216850281,67.280891418457,NA,NA,NA,NA,NA,17.2233562469482,5.11799764633179,7.37029409408569,650.159790039062,NA,NA,14.615439414978,NA,15.3991136550903,NA,NA,1.22979974746704,NA,NA,0.557111203670502,NA,72.0926666259766,NA,NA,4.51740741729736,3.07766890525818,NA,4.26607751846314,26.7305393218994,30.1984310150146,NA,22.4204216003418,4.36553478240967,NA,45.7564315795898,NA,51.6547241210938,NA,6.42916202545166,NA,NA,NA,NA,8.04949283599854,NA,4.10362815856934,NA,1.79958176612854,NA,NA,NA,NA,427.8896484375,2.85142350196838,20.1000003814697,NA,0.169037252664566,1.98724496364594,49.4000129699707,1.51065278053284,0.890568733215332,92.9029083251953,NA,7.68236446380615,NA,NA,NA,23.2307682037354,NA,NA,NA,NA,NA,9.28883838653564,NA,NA,0.310742914676666,NA,NA,11.8017921447754,NA,NA,NA,35.6315536499023,NA,NA,0.330649882555008,NA,NA,NA,NA,NA,NA,0.62533700466156,3.36461043357849,7.88836145401001,NA,NA,39.4869575500488,1.63775038719177,11.1607866287231,3.52178812026978,NA,2.27373743057251,NA,42.3210067749023,1.07692003250122,9.50230598449707,24.9186840057373,NA,8.55209636688232,1.81413161754608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47147011756897,NA,NA,NA,NA,NA,7.4203028678894,NA,NA,NA,NA,NA,NA,NA,25.7019290924072,NA,NA,0.781162440776825,NA,25.8518314361572,9.92022705078125,NA,6.65497159957886,NA,2.44833755493164,178.750732421875,NA,NA,7.52080488204956,NA,NA,NA,16.6305160522461,3.03746747970581,3.53281569480896
1959,NA,NA,NA,NA,NA,20.2902450561523,NA,NA,10.2779788970947,7.0605034828186,NA,NA,9.09842014312744,2.2346203327179,5.10568761825562,51.646053314209,NA,NA,NA,NA,NA,NA,NA,3.48097014427185,69.3203582763672,NA,NA,NA,NA,NA,17.6277828216553,5.17706251144409,7.55410671234131,657.847045898438,NA,NA,14.9314737319946,NA,15.9019622802734,NA,NA,1.27852690219879,NA,NA,0.566096782684326,NA,72.6203765869141,NA,NA,4.54892730712891,3.18254542350769,NA,4.38772058486939,27.3695602416992,30.4659385681152,NA,22.8551445007324,4.4004807472229,NA,46.2323341369629,NA,51.9587440490723,NA,6.61360454559326,3.44460916519165,NA,NA,NA,8.13323879241943,NA,4.23924016952515,NA,1.85860764980316,NA,NA,NA,NA,436.383331298828,2.84294271469116,20.685510635376,NA,0.172585844993591,2.04301190376282,49.7554664611816,1.54283881187439,0.929295063018799,93.8157501220703,NA,7.91632652282715,NA,NA,NA,23.9577445983887,NA,NA,NA,NA,NA,9.53801536560059,NA,NA,0.312583595514297,NA,NA,12.1432371139526,NA,NA,NA,36.8013076782227,NA,NA,0.330649882555008,NA,NA,NA,NA,NA,NA,0.642924726009369,3.44156646728516,8.11590576171875,NA,NA,40.6473350524902,1.68982756137848,11.3211755752563,3.55163598060608,NA,2.32315683364868,NA,43.4130325317383,1.10659575462341,9.76634025573731,25.6779956817627,NA,8.62233352661133,1.86028671264648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54807901382446,NA,NA,NA,NA,NA,7.45746374130249,NA,NA,NA,NA,NA,NA,NA,26.5191650390625,NA,NA,0.809344053268433,NA,26.6809768676758,10.2883272171021,NA,6.84438180923462,NA,2.48277878761291,181.763946533203,NA,NA,7.82822895050049,NA,NA,NA,17.049280166626,3.11502408981323,3.64805912971497
