"Year","ABW","AGO","AIA","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUW","CYM","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ESP","EST","ETH","FIN","FJI","FRA","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GTM","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KNA","KOR","KWT","LAO","LBN","LBR","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MSR","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","PSE","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SRB","STP","SUR","SVK","SVN","SWE","SWZ","SXM","SYC","SYR","TCA","TCD","TGO","THA","TJK","TKM","TTO","TUN","TUR","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VGB","VNM","YEM","ZAF","ZMB","ZWE"
1950,NA,NA,NA,NA,NA,45306.71875,NA,NA,113607.1796875,37076.671875,NA,NA,69670.1640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4774.78564453125,84601.9375,NA,NA,NA,NA,NA,155117.546875,65974.8359375,NA,NA,NA,NA,24036.732421875,NA,37687.22265625,NA,NA,2962.10034179688,NA,NA,1351.87951660156,NA,323606.3125,NA,NA,41077.34375,NA,NA,10500.2080078125,14002.546875,97928.75,NA,7798.990234375,23602.8984375,NA,299366.90625,NA,457942.78125,NA,NA,NA,NA,NA,NA,NA,NA,7261.7451171875,NA,3071.53955078125,NA,NA,NA,NA,310003.875,15062.5,NA,NA,1157.89733886719,7821.95556640625,202444.25,NA,NA,220808.5625,NA,9735.8798828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,21108.07421875,NA,NA,3495.85424804687,NA,NA,12286.7333984375,NA,NA,NA,127420.359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,2339.51684570312,NA,NA,NA,NA,83988.8671875,4335.75390625,77385.8203125,28291.83203125,NA,23059.36328125,NA,46511.01953125,1929.87841796875,16197.23828125,27530.017578125,NA,21874.82421875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3647.38061523437,NA,NA,NA,NA,NA,69103.53125,NA,NA,NA,NA,NA,NA,NA,21142.82421875,NA,NA,2534.70190429687,NA,63511.0390625,NA,NA,4628.17626953125,NA,13663.2919921875,2268036.25,NA,NA,31663.84765625,NA,NA,NA,71419.296875,NA,NA
1951,NA,NA,NA,NA,NA,47450.91015625,NA,NA,106139.8203125,38447.5859375,NA,NA,74473.9921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5432.94580078125,88422,NA,NA,NA,NA,NA,160816.171875,69982.296875,28661.65234375,NA,NA,NA,27659.8125,NA,37828.609375,NA,NA,3127.44458007813,NA,NA,1434.35864257813,NA,355176.90625,NA,NA,39469.04296875,5440.3974609375,NA,10858.994140625,14533.1279296875,114321.71875,NA,8911.0390625,28131.2890625,NA,313085.46875,NA,464612.71875,NA,NA,NA,NA,NA,NA,25406.013671875,NA,7343.73681640625,NA,3168.8017578125,NA,NA,NA,NA,322659.5,14631.1806640625,NA,NA,1106.0107421875,9894.12890625,218233.796875,NA,NA,245878.890625,NA,11531.0927734375,NA,NA,NA,NA,NA,NA,NA,NA,NA,22699.23046875,NA,NA,4349.470703125,NA,NA,12781.7578125,NA,NA,NA,137774.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,2433.94458007812,NA,NA,NA,NA,89909.84375,4927.48876953125,79747.6484375,30328.021484375,NA,21540.75,NA,46369.5703125,1853.38916015625,17672.259765625,28279.19140625,NA,24080.83203125,2434.64697265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3860.27905273437,NA,NA,NA,NA,NA,73437.3359375,NA,NA,NA,NA,NA,NA,NA,21080.2890625,NA,NA,2808.26904296875,NA,77555.1953125,12650.544921875,NA,5846.10986328125,NA,16624.78125,2427521.5,NA,NA,34888.9140625,NA,NA,NA,72708.140625,NA,NA
1952,NA,NA,NA,NA,NA,42930.6875,NA,NA,103085.4375,40241.68359375,NA,NA,76027.2734375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5379.83154296875,96716.046875,NA,NA,NA,NA,NA,175730.328125,71133.59375,31307.849609375,622099.3125,NA,NA,29197.326171875,NA,40322.359375,NA,NA,3655.50317382813,NA,NA,1623.12634277344,NA,392619.34375,NA,NA,40953.546875,5161.9453125,NA,11863.228515625,13415.97265625,119266.7890625,NA,9262.53125,28487.89453125,NA,323440.96875,NA,470084.6875,NA,NA,NA,NA,NA,NA,24834.4140625,NA,7509.4326171875,NA,3215.2607421875,NA,NA,NA,NA,331855.875,15657.80859375,NA,NA,1102.21997070313,9002.2744140625,224833.5625,NA,NA,268467.78125,NA,10558.73046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,20088.927734375,NA,NA,4948.13134765625,NA,NA,13683.0234375,NA,NA,NA,144489.484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,2533.76904296875,NA,NA,NA,NA,99787.171875,5604.85791015625,87644.0703125,31407.46875,NA,20959.189453125,NA,45087.375,2032.55505371094,17986.95703125,29772.546875,NA,24938.783203125,2394.32470703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4084.1728515625,NA,NA,NA,NA,NA,73061.875,NA,NA,NA,NA,NA,NA,NA,20645.66796875,NA,NA,2884.87353515625,NA,85188.6328125,14374.6640625,NA,5456.3544921875,NA,15136.6171875,2517366,NA,NA,39473.38671875,NA,NA,NA,67386.4140625,NA,NA
1953,NA,NA,NA,NA,NA,44623.89453125,NA,NA,114691.0390625,42101.859375,NA,NA,76128.4453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4629.46630859375,99095.3828125,NA,NA,NA,NA,NA,184769.65625,74869.03125,31722.556640625,702971.3125,NA,NA,33245.94921875,NA,44231.21875,NA,NA,4440.5693359375,NA,NA,1844.32495117188,NA,428487.75,NA,NA,43962.9375,5025.1298828125,NA,12613.482421875,13444.060546875,115013.65625,NA,9890.0244140625,27320.140625,NA,338714.28125,NA,498549.78125,NA,NA,NA,NA,NA,NA,27929.677734375,NA,7824.95458984375,NA,3469.44946289062,NA,NA,NA,NA,349512.125,16473.029296875,NA,NA,1290.7763671875,8943.30859375,242997.125,4747.54931640625,NA,281350.25,NA,10187.3525390625,NA,NA,NA,21557.048828125,NA,NA,NA,NA,NA,21058.392578125,NA,NA,4309.15673828125,NA,NA,14119.86328125,NA,NA,NA,140724.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,2536.75048828125,NA,NA,NA,NA,97268.8125,5969.0615234375,94857.2109375,32455.34375,NA,22289.6015625,NA,46405.72265625,2158.28076171875,18669.607421875,34098.4140625,NA,26599.7265625,2315.99560546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4372.974609375,NA,NA,NA,NA,NA,75378.1484375,NA,NA,NA,NA,NA,NA,NA,19334.443359375,NA,NA,3250.26928710937,NA,96184.3828125,15872.8671875,NA,4392.4482421875,NA,15708.146484375,2641739.75,NA,NA,41562.125,NA,NA,NA,75512.2265625,NA,NA
1954,NA,NA,NA,NA,NA,46663.63671875,NA,NA,122471.890625,44981.62890625,NA,NA,79456.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4776.5830078125,108062.5234375,NA,NA,NA,NA,NA,183219.734375,79672.5,33711.3125,646956.25,NA,NA,34313.46875,NA,49054.5546875,NA,NA,4687.1171875,NA,NA,2089.19677734375,NA,464978.9375,NA,NA,45589.56640625,5552.49560546875,NA,14057.5126953125,14286.6494140625,130282.4375,NA,9954.56640625,30710.919921875,NA,357987.625,NA,517332.03125,NA,NA,NA,NA,NA,NA,28379.408203125,NA,8076.14111328125,NA,3227.83374023437,NA,NA,NA,NA,365066.34375,16641.3671875,NA,NA,1434.33435058594,10473.6259765625,255213.453125,5365.0625,1498.24755859375,299227.28125,NA,11584.1220703125,NA,NA,NA,22021.0546875,NA,NA,NA,NA,NA,23792.79296875,NA,NA,4332.0615234375,NA,NA,15004.21875,NA,NA,NA,156401,NA,NA,518.644836425781,NA,NA,NA,NA,NA,NA,2506.99438476562,2291.39477539062,NA,NA,NA,107333.8125,6335.80419921875,98036.546875,33510.1484375,NA,24581.5625,NA,47040.95703125,2311.76684570312,20266.80859375,36515.65234375,NA,28019.18359375,2495.33911132812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4638.71484375,NA,NA,NA,NA,NA,79878.1953125,NA,NA,NA,NA,NA,NA,NA,20873.376953125,NA,NA,3460.48022460937,NA,88368.9453125,17081.66796875,NA,4848.603515625,NA,17952.78515625,2626909.25,NA,NA,46366.203125,NA,NA,NA,81929.3984375,NA,5249.7626953125
1955,NA,NA,NA,NA,NA,50985.1015625,NA,NA,126965.40625,49533.66796875,NA,NA,84312.796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5217.69140625,115911.1015625,NA,NA,NA,NA,NA,201017.484375,85105.3828125,33538.08203125,718369,NA,NA,36757.58203125,NA,50472.7421875,NA,NA,5018.6953125,NA,NA,2135.64331054687,NA,529582.5625,NA,NA,45561.83984375,5526.673828125,NA,14649.21875,14919.171875,137178.015625,NA,10159.8701171875,33706.61328125,NA,377978.6875,NA,538192.3125,NA,21677.12109375,NA,NA,NA,NA,30564.26171875,NA,8172.73046875,NA,3267.67260742188,NA,NA,NA,NA,373282.5,16926.96484375,36586.828125,NA,1659.02355957031,11648.9140625,273198.96875,5835.638671875,1250.60522460938,324538.34375,NA,12466.888671875,NA,NA,NA,23662.26953125,NA,NA,NA,NA,NA,25845.14453125,NA,NA,4620.6826171875,NA,NA,14874.6318359375,NA,NA,NA,169412.453125,NA,NA,521.323120117188,NA,NA,NA,NA,NA,NA,2641.13696289062,2443.1005859375,17743.28515625,NA,NA,114748.9375,6933.330078125,108473.8515625,35052.19140625,NA,25551.595703125,NA,45903.06640625,2499.07446289063,21101.537109375,39336.875,NA,28927.212890625,2700.87890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4811.30419921875,NA,NA,NA,NA,NA,82777.3828125,NA,NA,NA,NA,NA,NA,NA,20049.71484375,NA,NA,3826.02783203125,NA,96952.078125,18433.826171875,NA,4844.091796875,NA,18365.1328125,2829741.5,NA,NA,49564.94140625,NA,NA,NA,85177.8828125,7652.93017578125,5426.294921875
1956,NA,NA,NA,NA,NA,52239.046875,NA,NA,129516.09375,53488.171875,NA,NA,88190.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4831.69677734375,119873.953125,NA,NA,NA,NA,NA,218685.65625,90314.7890625,33376.44140625,760330.0625,NA,NA,37844.84375,NA,51573.12890625,NA,NA,4877.4443359375,NA,NA,2399.13134765625,NA,570064.125,NA,NA,46665.3828125,6054.7666015625,NA,15073.17578125,15454.17578125,147464.125,NA,10663.8115234375,34340.70703125,NA,397534.96875,NA,553191.125,NA,21755.984375,NA,NA,NA,NA,33324.05859375,NA,8874.9013671875,NA,3699.603515625,NA,NA,NA,NA,388398,16628.064453125,38972.94921875,NA,1652.08557128906,12865.1982421875,284218.75,6332.55419921875,1826.99536132813,346646.59375,NA,12731.30078125,NA,NA,NA,23888.28515625,NA,NA,NA,NA,NA,23208.072265625,NA,NA,5162.84375,NA,NA,15126.8662109375,NA,NA,NA,180944.46875,NA,NA,577.871948242187,NA,NA,NA,NA,NA,NA,2789.99047851562,2619.3369140625,17833.796875,NA,NA,111526.140625,6900.517578125,112984.2578125,36967.28125,NA,25847.1875,NA,48610.69921875,2572.57934570312,21888.134765625,40878.7578125,NA,30430.125,2741.61987304687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5019.51513671875,NA,NA,NA,NA,NA,85636.15625,NA,NA,NA,NA,NA,NA,NA,21029.462890625,NA,NA,4405.693359375,NA,99139.8515625,19202.7109375,NA,4893.91552734375,NA,18118.1484375,2892879,NA,NA,53113.44140625,NA,NA,NA,90491.484375,8128.59814453125,5943.34326171875
1957,NA,NA,NA,NA,NA,54683.16015625,NA,NA,129437.5078125,56262.4375,NA,NA,88862.546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4698.2216796875,130645.46875,NA,NA,NA,NA,NA,222529.625,93244.390625,35873.546875,782881.3125,NA,NA,36925.1328125,NA,51237.578125,NA,NA,5248.9150390625,NA,NA,2330.14819335937,NA,602690.125,NA,NA,48687.8046875,6924.076171875,NA,15601.72265625,16124.3037109375,154404.578125,NA,10606.9892578125,34160.18359375,NA,420272.1875,NA,564300.3125,NA,21039.908203125,NA,NA,NA,NA,35809.14453125,NA,9257.7822265625,NA,3709.30078125,NA,NA,NA,NA,387579.5625,16543.029296875,43578.21875,NA,1668.46154785156,13875.728515625,298133.53125,7352.32666015625,1876.23059082031,370229.84375,NA,13232.4462890625,NA,NA,NA,26572.291015625,NA,NA,NA,NA,NA,23335.0703125,NA,NA,5294.32275390625,NA,NA,14890.376953125,NA,NA,NA,194044.859375,NA,NA,597.079833984375,NA,NA,NA,NA,NA,NA,2877.20239257813,2835.20703125,17411.21875,NA,NA,116976.96875,7539.4609375,115429.1328125,38402.453125,NA,26754.748046875,NA,49050.90234375,2821.29223632813,23402.365234375,43391.30859375,NA,31537.115234375,2736.59716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5422.77099609375,NA,NA,NA,NA,NA,87509.609375,NA,NA,NA,NA,NA,NA,NA,23618.0625,NA,NA,4990.5068359375,NA,122753.3984375,20688.4765625,NA,5730.98779296875,NA,18939.0625,2955121,NA,NA,60508.734375,NA,NA,NA,95607.140625,6887.29931640625,6554.95947265625
1958,NA,NA,NA,NA,NA,58894.015625,NA,NA,138452.109375,58882.5625,NA,NA,88372.6328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4755.16357421875,137943.3125,NA,NA,NA,NA,NA,226326.015625,91491.8828125,36968.54296875,767749.6875,NA,NA,37213.0546875,NA,50736.19921875,NA,NA,5830.86328125,NA,NA,2082.88916015625,NA,628926.5625,NA,NA,50036.87890625,6725.203125,NA,15859.203125,16356.466796875,161184.21875,NA,10685.3935546875,34122.578125,NA,433926.6875,NA,570384.1875,NA,23235.6328125,NA,NA,NA,NA,37797.93359375,NA,9513.9501953125,NA,3853.08447265625,NA,NA,NA,NA,415063.625,16536.06640625,48499.109375,NA,1838.93017578125,15198.625,313934.8125,7440.884765625,2140.30395507812,403085.96875,NA,13327.2900390625,NA,NA,NA,27342.015625,NA,NA,NA,NA,NA,24453.57421875,NA,NA,5137.83251953125,NA,NA,16026.28125,NA,NA,NA,203232.375,NA,NA,640.826843261719,NA,NA,NA,NA,NA,NA,2745.05541992187,2886.81079101563,16826.181640625,NA,NA,128666.9765625,7627.9248046875,117427.046875,37739.01171875,NA,26713.498046875,NA,49181.01171875,2859.13037109375,22705.439453125,44757.47265625,NA,31783.419921875,2913.68579101562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5193.94091796875,NA,NA,NA,NA,NA,89957.203125,NA,NA,NA,NA,NA,NA,NA,24316.279296875,NA,NA,5362.333984375,NA,135257.015625,22027.92578125,NA,5505.61328125,NA,17467.7890625,2933730.5,NA,NA,60513.45703125,NA,NA,NA,95412.4765625,6219.2177734375,6556.63330078125
1959,NA,NA,NA,NA,NA,55835.02734375,NA,NA,148550.953125,61174.375,NA,NA,89629.3359375,3315.08569335937,3139.17700195312,71690.46875,NA,NA,NA,NA,NA,NA,NA,4801.4228515625,144702.375,NA,NA,NA,NA,NA,236797.890625,98284.4140625,37450.54296875,708825.75,NA,NA,37584.7890625,NA,53359.77734375,NA,NA,5798.35595703125,NA,NA,2203.04711914063,NA,683272.1875,NA,NA,55059.125,6804.63427734375,NA,16755.25,18137.25390625,157319.15625,NA,11398.5966796875,36781.4609375,NA,448477.5,NA,590988.25,NA,26365.00390625,9089.048828125,NA,NA,NA,39205.61328125,NA,9971.490234375,NA,3948.00415039062,NA,NA,NA,NA,424183.28125,17457.8125,54684.1484375,NA,1937.55798339844,17013.4296875,335716.84375,7637.37939453125,2481.89672851562,443433.59375,NA,13174.646484375,NA,NA,NA,27564.736328125,NA,NA,NA,NA,NA,25708.63671875,NA,NA,5167.3037109375,NA,NA,16436.896484375,NA,NA,NA,209241.53125,NA,NA,658.811767578125,NA,NA,NA,NA,NA,NA,2918.55004882812,2796.79858398437,20190.080078125,NA,NA,143861.078125,8061.58251953125,124061.7109375,38851.01171875,NA,28961.759765625,NA,52894.16796875,2994.11352539062,23636.537109375,48918.6796875,NA,33699.140625,2955.36865234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5237.509765625,NA,NA,NA,NA,NA,95026.375,NA,NA,NA,NA,NA,NA,NA,27045.125,NA,NA,5738.15673828125,NA,128794.1875,23609.84375,NA,5776.787109375,NA,16928.681640625,3149378.25,NA,NA,62876.515625,NA,NA,NA,97208.6953125,7974.41357421875,7425.07080078125
