"Year","ABW","AGO","AIA","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUW","CYM","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ESP","EST","ETH","FIN","FJI","FRA","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GTM","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KNA","KOR","KWT","LAO","LBN","LBR","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MSR","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","PSE","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLE","SLV","SRB","STP","SUR","SVK","SVN","SWE","SWZ","SXM","SYC","SYR","TCA","TCD","TGO","THA","TJK","TKM","TTO","TUN","TUR","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VGB","VNM","YEM","ZAF","ZMB","ZWE"
1960,65.662,37.524,NA,62.283,51.537,65.055,65.972,61.968,70.8170731707317,68.5856097560976,61.034,41.281,69.7019512195122,37.271,34.432,45.379,69.2475609756098,51.869,64.74,60.353,67.7080975609756,59.981,NA,41.82,54.143,64.472,54.81,34.526,49.179,36.249,71.1331707317073,71.3134146341463,57.219,43.725,36.095,41.785,41.098,45.721,57.269,41.447,48.461,60.381,NA,NA,69.618,70.3487804878049,69.3100243902439,44.038,NA,72.1765853658537,51.602,46.141,52.982,48.042,69.1092682926829,67.9029024390244,38.419,68.819756097561,60.811,69.8682926829268,39.694,71.1268292682927,63.651,45.843,34.89,32.054,37.478,36.535,68.1639024390244,62.231,46.702,66.9616829268293,46.274,64.6086585365854,41.762,68.0031707317073,46.664,41.422,69.796512195122,44.947,48.022,73.4231707317073,NA,69.1239024390244,64.77,52.651,67.6660975609756,58.3675853658537,46.76,56.1280731707317,41.242,NA,55.4155365853659,59.343,43.204,63.267,34.264,56.739,59.369,47.919,69.8473170731707,68.4463902439024,69.7868292682927,64.828,48.458,61.995,39.962,37.343,57.077,60.633,28.199,69.433243902439,42.381,63.82,48.392,39.439,44.432,NA,58.7452195121951,36.672,59.991,46.483,35.053,36.976,46.998,73.3926829268293,73.549756097561,35.583,71.2365853658537,42.672,45.299,60.864,48.012,61.105,67.6804878048781,63.2729024390244,63.881,NA,61.094,65.6424390243903,66.0552926829268,42.616,45.638,48.194,38.223,65.6598292682927,31.566,49.95,NA,50.378,59.682,69.9236585365854,68.9780487804878,73.0056097560976,43.572,NA,NA,51.971,NA,38.02,40.297,54.701,50.613,54.471,62.222,42.021,45.369,NA,43.6,44.359,68.2995365853659,67.783,69.7707317073171,58.835,59.26,59.831,NA,59.039,29.919,48.406,46.687,53.019
1961,66.074,37.811,NA,63.301,52.56,65.176,66.403,62.523,70.9731707317073,69.5773170731707,61.256,41.592,70.5209756097561,37.727,34.897,45.97,70.1956097560976,53.235,64.885,61.019,68.2126585365854,60.531,NA,42.15,54.634,65.198,55.81,34.889,49.684,36.715,71.3460975609756,71.6448780487805,57.616,44.051,36.948,42.255,41.312,46.338,57.813,41.846,48.66,61.018,NA,NA,69.949,70.5126829268293,69.508,44.469,NA,72.4382926829268,52.306,46.599,53.547,48.609,69.4804878048781,68.3608048780488,39.082,68.8441463414634,61.172,70.1170731707317,40.082,70.8780487804878,64.058,46.279,35.086,32.336,37.752,36.872,68.5486341463415,62.657,47.219,67.548756097561,46.953,65.015512195122,42.182,68.9360975609756,47.276,42.027,69.9782682926829,45.512,49.222,73.5034146341464,72.0065853658537,69.760243902439,65.133,53.438,68.31,58.7815853658537,47.417,56.5641219512195,41.366,NA,56.0149756097561,60.099,43.511,63.575,34.56,57.589,59.769,48.162,70.1026829268293,68.7377317073171,70.0324390243903,65.301,48.88,62.367,40.444,37.936,57.668,61.259,28.345,69.6143902439024,42.961,64.508,49.304,39.879,45.132,NA,59.7483658536585,36.934,60.515,47.231,35.141,37.431,47.636,73.6526829268293,73.5504878048781,35.941,70.9853658536586,43.499,46.197,61.38,48.628,61.509,67.7780487804878,63.6863658536585,64.105,NA,61.851,66.4158780487805,66.5970243902439,42.941,46.145,48.618,38.38,66.0871951219512,31.925,50.621,NA,50.909,60.038,70.2508536585366,68.9780487804878,73.4743902439024,43.951,NA,NA,52.568,NA,38.279,40.941,55.233,50.927,54.897,62.652,42.656,46.093,NA,43.859,44.955,68.7638536585366,68.007,70.2707317073171,59.21,59.891,60.377,NA,59.72,30.163,48.777,47.084,53.483
1962,66.444,38.113,NA,64.19,53.573,65.269,66.838,63.049,70.9424390243903,69.309512195122,61.469,41.907,70.219512195122,38.188,35.369,46.557,69.4919512195122,54.59,65.011,61.646,68.6358292682927,61.092,NA,42.49,55.13,65.831,56.805,35.29,50.171,37.19,71.3670731707317,71.1960975609756,58.031,44.783,37.78,42.721,41.529,46.928,58.329,42.245,48.944,61.638,NA,NA,70.272,69.7868292682927,69.6915365853659,44.892,NA,72.319756097561,52.997,47.056,54.098,49.134,69.5190243902439,68.7410243902439,39.711,68.5778048780488,61.478,70.3146341463415,40.56,70.9268292682927,64.469,46.696,35.266,32.67,38.042,37.208,68.8922682926829,63.064,47.75,68.1059756097561,47.625,65.408243902439,42.591,67.8658536585366,47.877,42.637,70.1340731707317,46.069,50.409,73.7219512195122,72.1121951219512,69.149756097561,65.465,54.22,68.5948780487805,59.1995609756098,48.058,57.0026585365854,41.526,NA,56.5123170731707,60.841,43.817,63.871,34.911,58.428,60.177,48.383,69.0953658536585,68.9981219512195,69.430487804878,65.757,49.307,62.743,40.924,38.56,58.193,61.87,28.535,69.7706585365854,43.567,65.181,50.185,40.238,45.834,NA,60.6269024390244,37.183,61.012,47.957,35.223,37.871,48.277,73.3239024390244,73.4480487804878,36.357,71.2317073170732,44.311,47.059,61.88,49.224,61.86,67.4268292682927,64.0952195121951,64.314,NA,62.61,67.0290731707317,67.0214146341464,43.251,46.665,49.035,38.462,66.432243902439,32.302,51.256,NA,51.428,60.377,70.4722926829268,68.9780487804878,73.3504878048781,44.325,NA,NA,53.176,NA,38.536,41.58,55.745,51.237,55.326,63.036,43.351,46.83,NA,44.121,45.558,69.1460975609756,68.198,70.119512195122,59.589,60.474,60.907,NA,60.387,30.5,49.142,47.446,53.946
1963,66.787,38.43,NA,64.914,54.572,65.348,67.277,63.54,70.9117073170732,69.4436585365854,61.679,42.225,70.0514634146342,38.655,35.847,47.126,70.3092682926829,55.911,65.121,62.243,68.9920731707317,61.663,NA,42.84,55.627,66.381,57.756,35.734,50.641,37.683,71.3807317073171,71.1875609756098,58.467,45.972,38.583,43.182,41.755,47.486,58.825,42.644,49.323,62.236,NA,NA,70.587,70.3043902439025,69.8596097560976,45.309,NA,72.4004878048781,53.675,47.509,54.635,49.628,69.6812195121951,69.0535609756098,40.29,69.0126829268293,61.741,70.5146341463415,41.149,70.8268292682927,64.881,47.093,35.432,33.07,38.349,37.542,69.1857073170732,63.451,48.295,68.6258536585366,48.285,65.7878780487805,43,68.8741463414634,48.468,43.252,70.2729268292683,46.621,51.58,73.0429268292683,NA,69.2480487804878,65.784,54.995,69.6580487804878,59.6195365853659,48.674,57.4431951219512,41.71,NA,56.9706097560976,61.565,44.121,64.157,35.322,59.246,60.611,48.59,70.2043902439024,69.2230731707317,69.8290243902439,66.199,49.738,63.122,41.401,39.209,58.656,62.469,28.782,69.9199512195122,44.215,65.827,51.012,40.508,46.531,NA,61.3576585365854,37.421,61.486,48.656,35.298,38.291,48.92,73.3370731707317,73.0775609756098,36.828,71.280487804878,45.11,47.884,62.36,49.792,62.16,68.3756097560976,64.496512195122,64.5,NA,63.369,67.4410731707317,67.3399024390244,43.54,47.207,49.446,38.477,66.7008048780488,32.705,51.847,NA,51.931,60.705,70.5949268292683,68.6219512195122,73.5553658536585,44.699,NA,NA,53.797,NA,38.795,42.215,56.231,51.544,55.757,63.373,44.11,47.573,NA,44.393,46.162,69.4577073170732,68.347,69.9170731707317,59.969,61.006,61.422,NA,61.02,30.943,49.509,47.772,54.403
1964,67.113,38.76,NA,65.463,55.555,65.426,67.716,63.992,70.8809756097561,69.9219512195122,61.889,42.54,70.7551219512195,39.13,36.331,47.649,71.1212195121951,57.182,65.219,62.818,69.2899268292683,62.241,NA,43.199,56.121,66.86,58.638,36.22,51.099,38.201,71.7763414634146,72.0778048780488,58.927,47.592,39.358,43.639,41.995,48.016,59.308,43.043,49.797,62.807,NA,NA,70.895,70.459512195122,70.0137073170732,45.727,NA,72.4851219512195,54.34,47.958,55.158,50.101,70.399756097561,69.3099268292683,40.81,69.2209756097561,61.967,70.6634146341463,41.849,71.6243902439024,65.291,47.469,35.588,33.543,38.671,37.874,69.4294390243902,63.817,48.856,69.1043658536585,48.926,66.1544390243903,43.414,69.3809756097561,49.051,43.873,70.4012926829268,47.172,52.73,73.5417073170732,NA,70.3117073170732,66.1,55.765,70.1324390243903,60.038,49.261,57.882243902439,41.893,NA,57.4409268292683,62.265,44.424,64.435,35.796,60.035,61.078,48.797,71.5090243902439,69.4110487804878,71.0280487804878,66.629,50.168,63.496,41.876,39.878,59.069,63.06,29.097,70.0757317073171,44.907,66.438,51.771,40.698,47.214,NA,61.9349512195122,37.655,61.943,49.325,35.368,38.691,49.566,73.7041463414634,73.5958536585366,37.346,71.3292682926829,45.896,48.67,62.824,50.334,62.411,68.6292682926829,64.8912682926829,64.659,NA,64.123,67.6504390243903,67.566512195122,43.803,47.781,49.852,38.449,66.9102195121951,33.134,52.391,NA,52.417,61.026,70.6327804878049,68.6634146341463,73.7331707317073,45.083,NA,NA,54.435,NA,39.059,42.846,56.692,51.851,56.186,63.663,44.932,48.312,NA,44.682,46.755,69.7082195121951,68.455,70.1658536585366,60.348,61.488,61.923,NA,61.581,31.501,49.888,48.068,54.849
1965,67.435,39.102,NA,65.85,56.523,65.518,68.153,64.401,70.850243902439,69.7221951219512,62.104,42.838,70.6253658536586,39.615,36.815,48.05,71.2939024390244,58.388,65.31,63.381,69.5374146341464,62.823,68.8978048780488,43.568,56.61,67.275,59.434,36.745,51.547,38.754,71.8721951219512,72.2017073170732,59.415,49.549,40.115,44.095,42.257,48.517,59.784,43.446,50.345,63.348,NA,NA,71.197,70.1631707317073,70.1518292682927,46.166,NA,72.3707317073171,54.993,48.394,55.669,50.545,70.8092682926829,69.5176341463415,41.267,68.9778048780488,62.157,70.8121951219512,42.651,71.6243902439024,65.694,47.823,35.74,34.097,39.004,38.205,69.638,64.161,49.434,69.5428780487805,49.548,66.5120487804878,43.837,69.0712195121951,49.629,44.5,70.5231463414634,47.729,53.839,73.8687804878049,NA,70.1717073170732,66.42,56.526,70.2019512195122,60.4519512195122,49.821,58.3152682926829,42.083,NA,57.9682926829268,62.934,44.728,64.709,36.324,60.781,61.579,49.015,71.3251219512195,69.5610243902439,70.7265853658537,67.055,50.593,63.856,42.351,40.56,59.447,63.642,29.489,70.2479268292683,45.63,67.022,52.461,40.822,47.868,NA,62.3582926829268,37.899,62.39,49.958,35.435,39.072,50.216,73.5687804878049,73.7231707317073,37.903,71.2268292682927,46.665,49.42,63.275,50.872,62.618,69.4292682926829,65.2800487804878,64.793,NA,64.866,67.6978536585366,67.7188536585366,44.034,48.408,50.257,38.407,67.0858048780488,33.59,52.893,NA,52.891,61.346,70.6033658536585,68.3658536585366,73.8617073170732,45.489,NA,NA,55.096,NA,39.344,43.473,57.133,52.166,56.609,63.908,45.821,49.035,NA,44.991,47.32,69.9056341463415,68.521,70.2146341463415,60.723,61.924,62.416,NA,61.963,32.175,50.284,48.351,55.274
1966,67.762,39.454,NA,66.11,57.482,65.64,68.588,64.762,70.819512195122,70.0458536585366,62.322,43.105,70.7063414634146,40.109,37.291,48.236,71.2234146341464,59.524,65.402,63.94,69.7346097560976,63.402,NA,43.947,57.091,67.628,60.147,37.303,51.991,39.355,72.0043902439024,72.3356097560976,59.931,51.696,40.873,44.555,42.549,48.993,60.257,43.858,50.934,63.862,NA,NA,71.491,70.3848780487805,70.2714146341463,46.654,NA,72.4441463414634,55.635,48.811,56.174,50.945,71.0551219512195,69.6811951219512,41.668,69.4770731707317,62.302,70.9609756097561,43.528,71.5731707317073,66.084,48.155,35.89,34.735,39.343,38.536,69.8374634146341,64.484,50.032,69.9462195121951,50.151,66.8627804878049,44.267,69.8224390243902,50.208,45.136,70.6384390243903,48.298,54.885,73.3004878048781,72.2856097560976,70.9260975609756,66.74,57.279,70.9865853658537,60.8554146341463,50.364,58.7382926829268,42.298,NA,58.5751707317073,63.566,45.033,64.982,36.895,61.471,62.104,49.254,71.520243902439,69.6744634146341,70.7073170731707,67.486,51.009,64.186,42.828,41.252,59.807,64.216,29.959,70.4410487804878,46.357,67.593,53.098,40.904,48.476,NA,62.6387073170732,38.174,62.833,50.554,35.501,39.442,50.874,73.5129268292683,73.9953658536585,38.487,71.1243902439025,47.413,50.134,63.718,51.432,62.784,69.8268292682927,65.6634634146342,64.908,NA,65.588,67.6594634146341,67.812512195122,44.225,49.107,50.663,38.386,67.2559512195122,34.072,53.36,NA,53.361,61.666,70.525243902439,69.0121951219512,74.0785365853659,45.929,NA,NA,55.788,NA,39.665,44.098,57.565,52.496,57.021,64.112,46.78,49.733,NA,45.321,47.839,70.0565365853659,68.554,70.2121951219512,61.089,62.318,62.91,NA,62.037,32.96,50.705,48.643,55.671
1967,68.095,39.813,NA,66.304,58.432,65.796,69.016,65.081,70.8692682926829,69.9178048780488,62.539,43.332,71.0129268292683,40.61,37.754,48.176,70.4139024390244,60.596,65.499,64.499,69.8816585365854,63.971,NA,44.337,57.563,67.928,60.803,37.882,52.435,40.005,72.2078048780488,72.6365853658537,60.474,53.847,41.647,45.025,42.868,49.448,60.729,44.283,51.532,64.358,NA,NA,71.776,70.2641463414634,70.374,47.203,NA,72.9221951219512,56.267,49.21,56.676,51.292,71.2529268292683,69.8021219512195,42.026,69.6665853658537,62.401,71.1609756097561,44.442,72.1243902439024,66.455,48.469,36.048,35.445,39.679,38.866,70.0524634146342,64.789,50.646,70.3257804878049,50.742,67.2087317073171,44.7,69.4070731707317,50.789,45.779,70.7451463414634,48.888,55.85,73.7831707317073,71.509756097561,70.9565853658537,67.051,58.022,71.2765853658537,61.2433902439024,50.902,59.1463170731707,42.486,NA,59.2414634146341,64.158,45.34,65.255,37.491,62.099,62.631,49.523,71.6039024390244,69.7613414634146,70.3939024390244,67.928,51.413,64.476,43.31,41.954,60.165,64.775,30.496,70.6480731707317,47.055,68.169,53.702,40.975,49.032,NA,62.8153170731707,38.494,63.277,51.116,35.573,39.809,51.538,73.8041463414634,74.0665853658537,39.087,71.4731707317073,48.141,50.812,64.16,52.038,62.915,69.4243902439024,66.0455365853659,65.015,NA,66.282,67.6269024390244,67.8601463414634,44.38,49.888,51.069,38.424,67.4457317073171,34.572,53.803,NA,53.838,61.984,70.4185365853659,69.3658536585366,74.1224390243903,46.409,NA,NA,56.51,NA,40.028,44.72,57.998,52.845,57.417,64.282,47.804,50.406,NA,45.668,48.297,70.1611219512195,68.567,70.5609756097561,61.442,62.682,63.409,NA,61.767,33.836,51.148,48.96,56.034
1968,68.436,40.178,NA,66.487,59.375,65.989,69.427,65.363,70.9190243902439,70.0575609756098,62.75,43.523,70.6931707317073,41.117,38.207,47.888,71.2251219512195,61.609,65.607,65.059,69.9826341463415,64.525,NA,44.737,58.025,68.187,61.422,38.469,52.885,40.703,72.3534146341463,72.590243902439,61.044,55.843,42.449,45.509,43.208,49.887,61.201,44.724,52.119,64.847,NA,NA,72.052,69.8407317073171,70.4650975609756,47.814,NA,73.1214634146342,56.889,49.597,57.181,51.592,71.5378048780488,69.8829268292683,42.355,69.6163414634146,62.456,71.309756097561,45.357,71.7243902439025,66.805,48.768,36.222,36.211,40.01,39.195,70.3025609756098,65.077,51.267,70.6905365853659,51.33,67.5489268292683,45.134,69.230243902439,51.374,46.428,70.8442926829268,49.503,56.723,74.0058536585366,71.0565853658537,70.78,67.349,58.752,71.6112195121951,61.6128780487805,51.446,59.5358536585366,42.55,NA,59.9446097560976,64.713,45.65,65.528,38.099,62.67,63.144,49.829,71.3136585365854,69.8351463414634,70.0429268292683,68.388,51.808,64.718,43.796,42.669,60.536,65.313,31.086,70.8630487804878,47.698,68.756,54.285,41.061,49.536,NA,62.9316829268293,38.866,63.719,51.65,35.658,40.184,52.205,73.6126829268293,73.9419512195122,39.691,71.1243902439025,48.858,51.457,64.607,52.702,63.017,70.219512195122,66.4272926829268,65.124,NA,66.942,67.671243902439,67.8743414634146,44.505,50.751,51.469,38.558,67.6737317073171,35.08,54.226,NA,54.328,62.299,70.3068292682927,68.9170731707317,73.9729268292683,46.935,NA,NA,57.26,NA,40.435,45.339,58.442,53.214,57.794,64.43,48.882,51.053,NA,46.028,48.687,70.2230731707317,68.575,69.9512195121951,61.779,63.026,63.916,NA,61.186,34.78,51.615,49.313,56.362
1969,68.784,40.546,NA,66.689,60.304,66.219,69.809,65.616,70.9687804878049,69.8331707317073,62.953,43.685,70.7648780487805,41.63,38.652,47.432,70.43,62.56,65.73,65.621,70.0451463414634,65.058,NA,45.147,58.475,68.421,62.013,39.057,53.346,41.444,72.5014634146341,72.6126829268293,61.637,57.603,43.276,46.008,43.563,50.313,61.675,45.179,52.698,65.339,NA,NA,72.318,69.3670731707317,70.5506829268293,48.476,NA,73.2209756097561,57.498,49.982,57.69,51.865,71.0575609756098,69.9280975609756,42.659,69.5034146341464,62.481,71.4585365853659,46.255,71.7219512195122,67.136,49.057,36.421,37.023,40.333,39.525,70.5892926829268,65.352,51.889,71.0445609756098,51.921,67.8813658536585,45.573,69.3146341463415,51.963,47.081,70.9378780487805,50.148,57.5,73.7763414634147,70.9704878048781,70.8119512195122,67.636,59.468,71.8387804878049,61.9598780487805,51.998,59.9038780487805,42.369,NA,60.6750243902439,65.231,45.962,65.8,38.714,63.188,63.634,50.18,70.9285365853659,69.9048536585366,69.7968292682927,68.865,52.195,64.908,44.283,43.397,60.932,65.824,31.72,71.0829512195122,48.279,69.348,54.845,41.178,49.99,NA,63.0201951219512,39.289,64.161,52.163,35.76,40.569,52.868,73.539512195122,73.6634146341463,40.291,71.4731707317073,49.574,52.07,65.063,53.42,63.097,69.719512195122,66.8127073170732,65.241,NA,67.567,67.8149268292683,67.8671219512195,44.609,51.692,51.86,38.816,67.9510731707317,35.59,54.628,NA,54.833,62.609,70.2057073170732,68.3609756097561,74.0848780487805,47.508,NA,NA,58.03,NA,40.878,45.955,58.904,53.602,58.147,64.565,50.001,51.678,NA,46.399,49.005,70.2475609756098,68.588,70.5073170731708,62.097,63.36,64.427,NA,60.383,35.78,52.106,49.7,56.656
