"REF_DATE","GEO","DGUID","Income concept","Economic family type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","8042","","","","0"
"1977","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","8264","","","","0"
"1978","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","8462","","","","0"
"1979","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","8650","","","","0"
"1980","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","8926","","","","0"
"1981","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","9132","","","","0"
"1982","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","9298","","","","0"
"1983","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","9480","","","","0"
"1984","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","9656","","","","0"
"1985","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","9837","","","","0"
"1986","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","10005","","","","0"
"1987","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","10205","","","","0"
"1988","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","10454","","","","0"
"1989","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","10659","","","","0"
"1990","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","10897","","","","0"
"1991","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","11062","","","","0"
"1992","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","11257","","","","0"
"1993","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","11395","A","","","0"
"1994","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","11532","A","","","0"
"1995","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","11707","A","","","0"
"1996","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","11851","A","","","0"
"1997","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","12017","A","","","0"
"1998","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Number of families","Number","223","thousands","3","v107652847","1.3.1.1","12134","A","","","0"
