"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","21962032","","","","0"
"1972","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","22218463","","","","0"
"1973","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","22491777","","","","0"
"1974","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","22807969","","","","0"
"1975","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","23143275","","","","0"
"1976","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","23449808","","","","0"
"1977","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","23725843","","","","0"
"1978","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","23963203","","","","0"
"1979","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","24201544","","","","0"
"1980","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","24515667","","","","0"
"1981","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","24819915","","","","0"
"1982","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","25116942","","","","0"
"1983","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","25366451","","","","0"
"1984","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","25607053","","","","0"
"1985","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","25842116","","","","0"
"1986","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","26100278","","","","0"
"1987","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","26446601","","","","0"
"1988","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","26791747","","","","0"
"1989","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","27276781","","","","0"
"1990","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","27691138","","","","0"
"1991","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","28037420","","","","0"
"1992","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","28371264","","","","0"
"1993","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","28684764","","","","0"
"1994","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","29000663","","","","0"
"1995","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","29302311","","","","0"
"1996","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","29610218","","","","0"
"1997","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","29905948","","","","0"
"1998","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","30155173","","","","0"
"1999","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","30401286","","","","0"
"2000","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","30685730","","","","0"
"2001","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","31020902","","","","0"
"2002","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","31360079","","","","0"
"2003","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","31644028","","","","0"
"2004","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","31940655","","","","0"
"2005","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","32243753","","","","0"
"2006","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","32571174","","","","0"
"2007","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","32889025","","","","0"
"2008","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","33247118","","","","0"
"2009","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","33628895","","","","0"
"2010","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34004889","","","","0"
"2011","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34339328","","","","0"
"2012","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34714222","","","","0"
"2013","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35082954","","","","0"
"2014","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35437435","","","","0"
"2015","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35702908","","","","0"
"2016","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","36109487","","","","0"
"2017","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","36543321","","","","0"
"2018","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","37057765","","","","0"
"2019","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","37589262","","","","0"


