"REF_DATE","GEO","DGUID","Statistics","Characteristics","Income, consumption and savings","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A000011124","Distribution of value","Lowest income quintile","Household disposable income","Percent","239","units","0","v116884488","1.2.2.1","6.2","","","","1"
"2015","Canada","2016A000011124","Distribution of value","Lowest income quintile","Household disposable income","Percent","239","units","0","v116884488","1.2.2.1","5.8","","","","1"
"2016","Canada","2016A000011124","Distribution of value","Lowest income quintile","Household disposable income","Percent","239","units","0","v116884488","1.2.2.1","5.8","","","","1"
"2017","Canada","2016A000011124","Distribution of value","Lowest income quintile","Household disposable income","Percent","239","units","0","v116884488","1.2.2.1","5.8","","","","1"
"2018","Canada","2016A000011124","Distribution of value","Lowest income quintile","Household disposable income","Percent","239","units","0","v116884488","1.2.2.1","5.9","","","","1"
"2014","Canada","2016A000011124","Distribution of value","Second income quintile","Household disposable income","Percent","239","units","0","v116884511","1.2.3.1","12.0","","","","1"
"2015","Canada","2016A000011124","Distribution of value","Second income quintile","Household disposable income","Percent","239","units","0","v116884511","1.2.3.1","12.2","","","","1"
"2016","Canada","2016A000011124","Distribution of value","Second income quintile","Household disposable income","Percent","239","units","0","v116884511","1.2.3.1","12.6","","","","1"
"2017","Canada","2016A000011124","Distribution of value","Second income quintile","Household disposable income","Percent","239","units","0","v116884511","1.2.3.1","12.4","","","","1"
"2018","Canada","2016A000011124","Distribution of value","Second income quintile","Household disposable income","Percent","239","units","0","v116884511","1.2.3.1","12.4","","","","1"
"2014","Canada","2016A000011124","Distribution of value","Third income quintile","Household disposable income","Percent","239","units","0","v116884534","1.2.4.1","16.7","","","","1"
"2015","Canada","2016A000011124","Distribution of value","Third income quintile","Household disposable income","Percent","239","units","0","v116884534","1.2.4.1","17.2","","","","1"
"2016","Canada","2016A000011124","Distribution of value","Third income quintile","Household disposable income","Percent","239","units","0","v116884534","1.2.4.1","17.5","","","","1"
"2017","Canada","2016A000011124","Distribution of value","Third income quintile","Household disposable income","Percent","239","units","0","v116884534","1.2.4.1","17.6","","","","1"
"2018","Canada","2016A000011124","Distribution of value","Third income quintile","Household disposable income","Percent","239","units","0","v116884534","1.2.4.1","17.6","","","","1"
"2014","Canada","2016A000011124","Distribution of value","Fourth income quintile","Household disposable income","Percent","239","units","0","v116884557","1.2.5.1","23.4","","","","1"
"2015","Canada","2016A000011124","Distribution of value","Fourth income quintile","Household disposable income","Percent","239","units","0","v116884557","1.2.5.1","23.1","","","","1"
"2016","Canada","2016A000011124","Distribution of value","Fourth income quintile","Household disposable income","Percent","239","units","0","v116884557","1.2.5.1","23.5","","","","1"
"2017","Canada","2016A000011124","Distribution of value","Fourth income quintile","Household disposable income","Percent","239","units","0","v116884557","1.2.5.1","23.2","","","","1"
"2018","Canada","2016A000011124","Distribution of value","Fourth income quintile","Household disposable income","Percent","239","units","0","v116884557","1.2.5.1","23.1","","","","1"
"2014","Canada","2016A000011124","Distribution of value","Highest income quintile","Household disposable income","Percent","239","units","0","v116884580","1.2.6.1","41.6","","","","1"
"2015","Canada","2016A000011124","Distribution of value","Highest income quintile","Household disposable income","Percent","239","units","0","v116884580","1.2.6.1","41.8","","","","1"
"2016","Canada","2016A000011124","Distribution of value","Highest income quintile","Household disposable income","Percent","239","units","0","v116884580","1.2.6.1","40.7","","","","1"
"2017","Canada","2016A000011124","Distribution of value","Highest income quintile","Household disposable income","Percent","239","units","0","v116884580","1.2.6.1","41.0","","","","1"
"2018","Canada","2016A000011124","Distribution of value","Highest income quintile","Household disposable income","Percent","239","units","0","v116884580","1.2.6.1","40.9","","","","1"
"2014","Canada","2016A000011124","Value per household","Lowest income quintile","Household disposable income","Dollars","81","units","0","v116884971","1.3.2.1","22831","","","","0"
"2015","Canada","2016A000011124","Value per household","Lowest income quintile","Household disposable income","Dollars","81","units","0","v116884971","1.3.2.1","22104","","","","0"
"2016","Canada","2016A000011124","Value per household","Lowest income quintile","Household disposable income","Dollars","81","units","0","v116884971","1.3.2.1","21760","","","","0"
"2017","Canada","2016A000011124","Value per household","Lowest income quintile","Household disposable income","Dollars","81","units","0","v116884971","1.3.2.1","22563","","","","0"
"2018","Canada","2016A000011124","Value per household","Lowest income quintile","Household disposable income","Dollars","81","units","0","v116884971","1.3.2.1","23537","","","","0"
"2014","Canada","2016A000011124","Value per household","Second income quintile","Household disposable income","Dollars","81","units","0","v116884994","1.3.3.1","44286","","","","0"
"2015","Canada","2016A000011124","Value per household","Second income quintile","Household disposable income","Dollars","81","units","0","v116884994","1.3.3.1","46363","","","","0"
"2016","Canada","2016A000011124","Value per household","Second income quintile","Household disposable income","Dollars","81","units","0","v116884994","1.3.3.1","47395","","","","0"
"2017","Canada","2016A000011124","Value per household","Second income quintile","Household disposable income","Dollars","81","units","0","v116884994","1.3.3.1","48256","","","","0"
"2018","Canada","2016A000011124","Value per household","Second income quintile","Household disposable income","Dollars","81","units","0","v116884994","1.3.3.1","49137","","","","0"
"2014","Canada","2016A000011124","Value per household","Third income quintile","Household disposable income","Dollars","81","units","0","v116885017","1.3.4.1","61423","","","","0"
"2015","Canada","2016A000011124","Value per household","Third income quintile","Household disposable income","Dollars","81","units","0","v116885017","1.3.4.1","65348","","","","0"
"2016","Canada","2016A000011124","Value per household","Third income quintile","Household disposable income","Dollars","81","units","0","v116885017","1.3.4.1","65923","","","","0"
"2017","Canada","2016A000011124","Value per household","Third income quintile","Household disposable income","Dollars","81","units","0","v116885017","1.3.4.1","68247","","","","0"
"2018","Canada","2016A000011124","Value per household","Third income quintile","Household disposable income","Dollars","81","units","0","v116885017","1.3.4.1","69943","","","","0"
"2014","Canada","2016A000011124","Value per household","Fourth income quintile","Household disposable income","Dollars","81","units","0","v116885040","1.3.5.1","86132","","","","0"
"2015","Canada","2016A000011124","Value per household","Fourth income quintile","Household disposable income","Dollars","81","units","0","v116885040","1.3.5.1","88016","","","","0"
"2016","Canada","2016A000011124","Value per household","Fourth income quintile","Household disposable income","Dollars","81","units","0","v116885040","1.3.5.1","88486","","","","0"
"2017","Canada","2016A000011124","Value per household","Fourth income quintile","Household disposable income","Dollars","81","units","0","v116885040","1.3.5.1","90179","","","","0"
"2018","Canada","2016A000011124","Value per household","Fourth income quintile","Household disposable income","Dollars","81","units","0","v116885040","1.3.5.1","91798","","","","0"
"2014","Canada","2016A000011124","Value per household","Highest income quintile","Household disposable income","Dollars","81","units","0","v116885063","1.3.6.1","152976","","","","0"
"2015","Canada","2016A000011124","Value per household","Highest income quintile","Household disposable income","Dollars","81","units","0","v116885063","1.3.6.1","159154","","","","0"
"2016","Canada","2016A000011124","Value per household","Highest income quintile","Household disposable income","Dollars","81","units","0","v116885063","1.3.6.1","153566","","","","0"
"2017","Canada","2016A000011124","Value per household","Highest income quintile","Household disposable income","Dollars","81","units","0","v116885063","1.3.6.1","159543","","","","0"
"2018","Canada","2016A000011124","Value per household","Highest income quintile","Household disposable income","Dollars","81","units","0","v116885063","1.3.6.1","162231","","","","0"


