date,cpi,policy_rate,avg_hourly_earnings,inflation_yoy,real_policy_rate_approx
2015-01-01,124.3,0.75,23.58,,
2015-02-01,125.4,0.75,23.5,,
2015-03-01,126.3,0.75,23.41,,
2015-04-01,126.2,0.75,23.65,,
2015-05-01,126.9,0.75,23.64,,
2015-06-01,127.2,0.75,23.64,,
2015-07-01,127.3,0.5,23.64,,
2015-08-01,127.3,0.5,23.54,,
2015-09-01,127.1,0.5,23.63,,
2015-10-01,127.2,0.5,23.51,,
2015-11-01,127.1,0.5,23.66,,
2015-12-01,126.5,0.5,23.56,,
2016-01-01,126.8,0.5,23.73,2.011263073,-1.511263073
2016-02-01,127.1,0.5,23.74,1.355661882,-0.855661882
2016-03-01,127.9,0.5,23.94,1.26682502,-0.76682502
2016-04-01,128.3,0.5,23.66,1.664025357,-1.164025357
2016-05-01,128.8,0.5,23.7,1.497241923,-0.997241923
2016-06-01,129.1,0.5,23.64,1.493710692,-0.993710692
2016-07-01,128.9,0.5,23.84,1.256873527,-0.756873527
2016-08-01,128.7,0.5,24.05,1.099764336,-0.599764336
2016-09-01,128.8,0.5,23.71,1.337529504,-0.837529504
2016-10-01,129.1,0.5,24.13,1.493710692,-0.993710692
2016-11-01,128.6,0.5,24.13,1.180173092,-0.680173092
2016-12-01,128.4,0.5,24.1,1.501976285,-1.001976285
2017-01-01,129.5,0.5,24.03,2.129337539,-1.629337539
2017-02-01,129.7,0.5,24.1,2.04563336,-1.54563336
2017-03-01,129.9,0.5,24.17,1.563721658,-1.063721658
2017-04-01,130.4,0.5,24.58,1.636788776,-1.136788776
2017-05-01,130.5,0.5,24.27,1.319875776,-0.819875776
2017-06-01,130.4,0.5,24.35,1.00697134,-0.50697134
2017-07-01,130.4,0.75,24.14,1.163692785,-0.413692785
2017-08-01,130.5,0.75,24.11,1.398601399,-0.648601399
2017-09-01,130.8,1,24.39,1.552795031,-0.552795031
2017-10-01,130.9,1,24.31,1.394268009,-0.394268009
2017-11-01,131.3,1,24.4,2.099533437,-1.099533437
2017-12-01,130.8,1,24.47,1.869158879,-0.869158879
2018-01-01,131.7,1.25,24.79,1.698841699,-0.448841699
2018-02-01,132.5,1.25,24.76,2.158828065,-0.908828065
2018-03-01,132.9,1.25,24.97,2.309468822,-1.059468822
2018-04-01,133.3,1.25,24.76,2.22392638,-0.97392638
2018-05-01,133.4,1.25,24.8,2.222222222,-0.972222222
2018-06-01,133.6,1.25,24.96,2.45398773,-1.20398773
2018-07-01,134.3,1.5,25.13,2.990797546,-1.490797546
2018-08-01,134.2,1.5,25.23,2.835249042,-1.335249042
2018-09-01,133.7,1.5,25.37,2.217125382,-0.717125382
2018-10-01,134.1,1.75,25.31,2.444614209,-0.694614209
2018-11-01,133.5,1.75,25.41,1.675552171,0.074447829
